"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","34626","152836","42918","18186.667863324248"
"2","36032","178391","43012","14479.957951547953"
"3","36624","160177","44359","15951.017308175173"
"4","35166","156197","44016","16001.424769916459"
"5","35296","150770","42881","14686.515668140648"
"6","34795","152105","42414","15533.19431730593"
"7","35484","146803","42531","15741.800797880553"
"8","36326","156735","43736","15548.471803272541"
"9","34062","162359","40381","15217.82984761197"
"10","34876","146008","41966","14464.433327388922"
