"Iteracja","CurrentCost","Best Result","Worst Result","Average Cost"
"1","161792","161792","161792","161792"
"2","161660","161660","161792","161726"
"3","160739","160739","161792","161397"
"4","153165","153165","161792","159339"
"5","153165","153165","161792","158104"
"6","151608","151608","161792","157021"
"7","154542","151608","161792","156667"
"8","154542","151608","161792","156401"
"9","160557","151608","161792","156863"
"10","160557","151608","161792","157232"
"11","160557","151608","161792","157534"
"12","160557","151608","161792","157786"
"13","159160","151608","161792","157892"
"14","159160","151608","161792","157982"
"15","159339","151608","161792","158073"
"16","156021","151608","161792","157945"
"17","156147","151608","161792","157839"
"18","156759","151608","161792","157779"
"19","156119","151608","161792","157691"
"20","156119","151608","161792","157613"
"21","156119","151608","161792","157542"
"22","159328","151608","161792","157623"
"23","159328","151608","161792","157697"
"24","159328","151608","161792","157765"
"25","156863","151608","161792","157729"
"26","156863","151608","161792","157695"
"27","155078","151608","161792","157598"
"28","155078","151608","161792","157508"
"29","155078","151608","161792","157425"
"30","155078","151608","161792","157346"
"31","155078","151608","161792","157273"
"32","155078","151608","161792","157205"
"33","155078","151608","161792","157140"
"34","161674","151608","161792","157273"
"35","161665","151608","161792","157399"
"36","161665","151608","161792","157517"
"37","162039","151608","162039","157640"
"38","161871","151608","162039","157751"
"39","161871","151608","162039","157857"
"40","168791","151608","168791","158130"
"41","168791","151608","168791","158390"
"42","168791","151608","168791","158638"
"43","168791","151608","168791","158874"
"44","168791","151608","168791","159099"
"45","168791","151608","168791","159314"
"46","168791","151608","168791","159520"
"47","168791","151608","168791","159718"
"48","168791","151608","168791","159907"
"49","168791","151608","168791","160088"
"50","160784","151608","168791","160102"
"51","158600","151608","168791","160072"
"52","158600","151608","168791","160044"
"53","154325","151608","168791","159936"
"54","150989","150989","168791","159770"
"55","162120","150989","168791","159813"
"56","162120","150989","168791","159854"
"57","161775","150989","168791","159888"
"58","161775","150989","168791","159921"
"59","161775","150989","168791","159952"
"60","154293","150989","168791","159858"
"61","150003","150003","168791","159696"
"62","150003","150003","168791","159540"
"63","150003","150003","168791","159388"
"64","150003","150003","168791","159242"
"65","150015","150003","168791","159100"
"66","144982","144982","168791","158886"
"67","144982","144982","168791","158678"
"68","147814","144982","168791","158519"
"69","148062","144982","168791","158367"
"70","148062","144982","168791","158220"
"71","147189","144982","168791","158064"
"72","147189","144982","168791","157913"
"73","147189","144982","168791","157766"
"74","151532","144982","168791","157682"
"75","152938","144982","168791","157619"
"76","151245","144982","168791","157535"
"77","150787","144982","168791","157447"
"78","150787","144982","168791","157362"
"79","150787","144982","168791","157279"
"80","151776","144982","168791","157210"
"81","151776","144982","168791","157143"
"82","154214","144982","168791","157107"
"83","154214","144982","168791","157072"
"84","162927","144982","168791","157142"
"85","162927","144982","168791","157210"
"86","162927","144982","168791","157277"
"87","162927","144982","168791","157341"
"88","162927","144982","168791","157405"
"89","163479","144982","168791","157473"
"90","162870","144982","168791","157533"
"91","162870","144982","168791","157592"
"92","162870","144982","168791","157649"
"93","165893","144982","168791","157738"
"94","165893","144982","168791","157825"
"95","165893","144982","168791","157909"
"96","162220","144982","168791","157954"
"97","162220","144982","168791","157998"
"98","162220","144982","168791","158041"
"99","162220","144982","168791","158084"
"100","161080","144982","168791","158114"
"OdchylenieStandardowe","6206.338667555936"
