"Iteracja","Best Result","Worst Result","Average Cost"
"1","123042","181823","157291"
"2","123042","180573","156943"
"3","123042","177008","156484"
"4","123042","173320","155354"
"5","123042","171696","154427"
"6","123042","170637","153897"
"7","123042","170220","153530"
"8","122877","169691","152983"
"9","115292","169311","152534"
"10","115292","168299","151188"
"11","115292","167803","150191"
"12","115292","166554","149050"
"13","115292","166144","148416"
"14","115292","166112","148289"
"15","115292","165285","147282"
"16","114660","164297","145943"
"17","108991","164033","145376"
"18","108991","163698","144933"
"19","108991","163229","144639"
"20","108991","162451","144057"
"21","108991","161880","143614"
"22","108991","160933","142750"
"23","108991","160893","142591"
"24","108991","160150","141960"
"25","108262","159736","141191"
"26","108262","159176","140612"
"27","106950","158717","139739"
"28","106950","158399","139321"
"29","102568","157770","138495"
"30","102568","157649","138137"
"31","102568","157327","137320"
"32","102568","157223","136790"
"33","102568","156756","136190"
"34","100744","156516","135501"
"35","100744","155959","134578"
"36","100744","155517","133928"
"37","95290","154647","132733"
"38","95290","154256","132017"
"39","95290","153717","131242"
"40","95290","152926","130355"
"41","95290","152403","129332"
"42","95290","152377","129005"
"43","95290","151083","127499"
"44","94707","149518","126428"
"45","94707","149220","125740"
"46","94707","148111","124473"
"47","91078","147451","123525"
"48","91078","145560","122449"
"49","91078","144239","121352"
"50","87274","143862","120657"
"51","84567","143290","119809"
"52","84567","142263","118604"
"53","84567","140495","117713"
"54","84567","140063","117391"
"55","84567","139273","116660"
"56","84567","137490","116006"
"57","84567","137175","115715"
"58","84567","136744","115328"
"59","84567","136064","114463"
"60","77726","134396","113206"
"61","77726","134325","113041"
"62","77726","133500","112141"
"63","77726","132913","111166"
"64","77726","132576","110664"
"65","77726","131830","109890"
"66","77726","131582","109234"
"67","77726","129985","108380"
"68","77726","128712","107599"
"69","77726","128372","107297"
"70","75449","127945","106488"
"71","75449","127441","105678"
"72","75449","126648","105053"
"73","75449","125748","104296"
"74","75449","125414","103706"
"75","75449","125081","102812"
"76","75449","125031","102168"
"77","75449","124956","102006"
"78","75449","124244","101073"
"79","75449","123418","100501"
"80","75449","122589","99942"
"81","75449","122423","99608"
"82","75449","121961","98805"
"83","75449","121704","98356"
"84","75449","120712","97476"
"85","75449","120108","96571"
"86","74119","118571","95988"
"87","74119","118153","95722"
"88","74119","117305","95465"
"89","74119","115226","94367"
"90","73698","114613","93662"
"91","72769","114611","93507"
"92","70709","114074","92811"
