"Iteracja","Current","Best","Worst","Average"
"1","167082","167082","167082","167082"
"2","164171","164171","167082","165626"
"3","145027","145027","167082","158760"
"4","190071","145027","190071","166587"
"5","159323","145027","190071","165134"
"6","149052","145027","190071","162454"
"7","167294","145027","190071","163145"
"8","162294","145027","190071","163039"
"9","129251","129251","190071","159285"
"10","155862","129251","190071","158942"
"11","166227","129251","190071","159604"
"12","152377","129251","190071","159002"
"13","164357","129251","190071","159414"
"14","138979","129251","190071","157954"
"15","152129","129251","190071","157566"
"16","181186","129251","190071","159042"
"17","154685","129251","190071","158786"
"18","171463","129251","190071","159490"
"19","169370","129251","190071","160010"
"20","159384","129251","190071","159979"
"21","178084","129251","190071","160841"
"22","175019","129251","190071","161485"
"23","162744","129251","190071","161540"
"24","142947","129251","190071","160765"
"25","168803","129251","190071","161087"
"26","143550","129251","190071","160412"
"27","160845","129251","190071","160428"
"28","173214","129251","190071","160885"
"29","145731","129251","190071","160362"
"30","168403","129251","190071","160630"
"31","179784","129251","190071","161248"
"32","158130","129251","190071","161151"
"33","145327","129251","190071","160671"
"34","143821","129251","190071","160176"
"35","145798","129251","190071","159765"
"36","158246","129251","190071","159723"
"37","171965","129251","190071","160053"
"38","152571","129251","190071","159857"
"39","162099","129251","190071","159914"
"40","164868","129251","190071","160038"
"41","195807","129251","195807","160910"
"42","159210","129251","195807","160870"
"43","171488","129251","195807","161117"
"44","159983","129251","195807","161091"
"45","149955","129251","195807","160843"
"46","150356","129251","195807","160615"
"47","177726","129251","195807","160979"
"48","177143","129251","195807","161316"
"49","166866","129251","195807","161429"
"50","171819","129251","195807","161637"
"51","158961","129251","195807","161585"
"52","169699","129251","195807","161741"
"53","138471","129251","195807","161302"
"54","155083","129251","195807","161187"
"55","154515","129251","195807","161065"
"56","141341","129251","195807","160713"
"57","159007","129251","195807","160683"
"58","146068","129251","195807","160431"
"59","148453","129251","195807","160228"
"60","140091","129251","195807","159892"
"61","167445","129251","195807","160016"
"62","149234","129251","195807","159842"
"63","162759","129251","195807","159889"
"64","157871","129251","195807","159857"
"65","160596","129251","195807","159868"
"66","163992","129251","195807","159931"
"67","141713","129251","195807","159659"
"68","158060","129251","195807","159635"
"69","156530","129251","195807","159590"
"70","175151","129251","195807","159813"
"71","168130","129251","195807","159930"
"72","153548","129251","195807","159841"
"73","152485","129251","195807","159740"
"74","169867","129251","195807","159877"
"75","132123","129251","195807","159507"
"76","154493","129251","195807","159441"
"77","144876","129251","195807","159252"
"78","146492","129251","195807","159088"
"79","143507","129251","195807","158891"
"80","163105","129251","195807","158944"
"81","167747","129251","195807","159053"
"82","151201","129251","195807","158957"
"83","163783","129251","195807","159015"
"84","167766","129251","195807","159119"
"85","147011","129251","195807","158977"
"86","143290","129251","195807","158794"
"87","143116","129251","195807","158614"
"88","164825","129251","195807","158685"
"89","163295","129251","195807","158736"
"90","165632","129251","195807","158813"
"91","192949","129251","195807","159188"
"92","176295","129251","195807","159374"
"93","134635","129251","195807","159108"
"94","156109","129251","195807","159076"
"95","164645","129251","195807","159135"
"96","156081","129251","195807","159103"
"97","168092","129251","195807","159196"
"98","177793","129251","195807","159385"
"99","168103","129251","195807","159473"
"100","154349","129251","195807","159422"
"101","149362","129251","195807","159323"
"102","170095","129251","195807","159428"
"103","162484","129251","195807","159458"
"104","173500","129251","195807","159593"
"105","160714","129251","195807","159604"
"106","170147","129251","195807","159703"
"107","155206","129251","195807","159661"
"108","164306","129251","195807","159704"
"109","161835","129251","195807","159724"
"110","144240","129251","195807","159583"
"111","148154","129251","195807","159480"
"112","145253","129251","195807","159353"
"113","163752","129251","195807","159392"
"114","168230","129251","195807","159469"
"115","142972","129251","195807","159326"
"116","151731","129251","195807","159260"
"117","166041","129251","195807","159318"
"118","169695","129251","195807","159406"
"119","145680","129251","195807","159291"
"120","171149","129251","195807","159390"
"121","149663","129251","195807","159309"
"122","151504","129251","195807","159245"
"123","160811","129251","195807","159258"
"124","162551","129251","195807","159285"
"125","154173","129251","195807","159244"
"126","162178","129251","195807","159267"
"127","168440","129251","195807","159339"
"128","164322","129251","195807","159378"
"129","163711","129251","195807","159412"
"130","155181","129251","195807","159379"
"131","141701","129251","195807","159244"
"132","163202","129251","195807","159274"
"133","159321","129251","195807","159274"
"134","157394","129251","195807","159260"
"135","173327","129251","195807","159365"
"136","160540","129251","195807","159373"
"137","172269","129251","195807","159467"
"138","177762","129251","195807","159600"
"139","170649","129251","195807","159679"
"140","178626","129251","195807","159815"
"141","171638","129251","195807","159899"
"142","161781","129251","195807","159912"
"143","169130","129251","195807","159976"
"144","144491","129251","195807","159869"
"145","149818","129251","195807","159799"
"146","167538","129251","195807","159852"
"147","151453","129251","195807","159795"
"148","158077","129251","195807","159784"
"149","136680","129251","195807","159629"
"150","152470","129251","195807","159581"
"151","144168","129251","195807","159479"
"152","148308","129251","195807","159405"
"153","175368","129251","195807","159510"
"154","174736","129251","195807","159609"
"155","176021","129251","195807","159714"
"156","163579","129251","195807","159739"
"157","154472","129251","195807","159706"
"158","173141","129251","195807","159791"
"159","137024","129251","195807","159648"
"160","165368","129251","195807","159683"
"161","139382","129251","195807","159557"
"162","167178","129251","195807","159604"
"163","169084","129251","195807","159662"
"164","162955","129251","195807","159682"
"165","163343","129251","195807","159705"
"166","148552","129251","195807","159637"
"167","155374","129251","195807","159612"
"168","177402","129251","195807","159718"
"169","169908","129251","195807","159778"
"170","156839","129251","195807","159761"
"171","171178","129251","195807","159828"
"172","156151","129251","195807","159806"
"173","146892","129251","195807","159732"
"174","159473","129251","195807","159730"
"175","139218","129251","195807","159613"
"176","155832","129251","195807","159591"
"177","146257","129251","195807","159516"
"178","163224","129251","195807","159537"
"179","152972","129251","195807","159500"
"180","164556","129251","195807","159528"
"181","167216","129251","195807","159571"
"182","160357","129251","195807","159575"
"183","161568","129251","195807","159586"
"184","172690","129251","195807","159657"
"185","167560","129251","195807","159700"
"186","147190","129251","195807","159633"
"187","142056","129251","195807","159539"
"188","152383","129251","195807","159501"
"189","170374","129251","195807","159558"
"190","164978","129251","195807","159587"
"191","163422","129251","195807","159607"
"192","151508","129251","195807","159564"
"193","167816","129251","195807","159607"
"194","159008","129251","195807","159604"
"195","149470","129251","195807","159552"
"196","155464","129251","195807","159531"
"197","146990","129251","195807","159468"
"198","154223","129251","195807","159441"
"199","170318","129251","195807","159496"
"200","162889","129251","195807","159513"
"201","148757","129251","195807","159459"
"202","154065","129251","195807","159433"
"203","153519","129251","195807","159403"
"204","171054","129251","195807","159461"
"205","155515","129251","195807","159441"
"206","149467","129251","195807","159393"
"207","145445","129251","195807","159325"
"208","157396","129251","195807","159316"
"209","167980","129251","195807","159358"
"210","169761","129251","195807","159407"
"211","166341","129251","195807","159440"
"212","137055","129251","195807","159334"
"213","139818","129251","195807","159243"
"214","151100","129251","195807","159205"
"215","160666","129251","195807","159212"
"216","135570","129251","195807","159102"
"217","155570","129251","195807","159086"
"218","165274","129251","195807","159114"
"219","152375","129251","195807","159083"
"220","161419","129251","195807","159094"
"221","162727","129251","195807","159110"
"222","151538","129251","195807","159076"
"223","159517","129251","195807","159078"
"224","148222","129251","195807","159030"
"225","141809","129251","195807","158953"
"226","151230","129251","195807","158919"
"227","164406","129251","195807","158943"
"228","150022","129251","195807","158904"
"229","166217","129251","195807","158936"
"230","132671","129251","195807","158822"
"231","164247","129251","195807","158845"
"232","172090","129251","195807","158902"
"233","147661","129251","195807","158854"
"234","156412","129251","195807","158844"
"235","148591","129251","195807","158800"
"236","157238","129251","195807","158794"
"237","179477","129251","195807","158881"
"238","163838","129251","195807","158902"
"239","171266","129251","195807","158953"
"240","170516","129251","195807","159002"
"241","157275","129251","195807","158994"
"242","155273","129251","195807","158979"
"243","143022","129251","195807","158913"
"244","168541","129251","195807","158953"
"245","157506","129251","195807","158947"
"246","153193","129251","195807","158923"
"247","141999","129251","195807","158855"
"248","163716","129251","195807","158875"
"249","157031","129251","195807","158867"
"250","138305","129251","195807","158785"
"251","156052","129251","195807","158774"
"252","165626","129251","195807","158801"
"253","174491","129251","195807","158863"
"254","141877","129251","195807","158796"
"255","160306","129251","195807","158802"
"256","162551","129251","195807","158817"
"257","168196","129251","195807","158853"
"258","190288","129251","195807","158975"
"259","162469","129251","195807","158989"
"260","142476","129251","195807","158925"
"261","123116","123116","195807","158788"
"262","145991","123116","195807","158739"
"263","145792","123116","195807","158690"
"264","153265","123116","195807","158669"
"265","169156","123116","195807","158709"
"266","152174","123116","195807","158684"
"267","160784","123116","195807","158692"
"268","147722","123116","195807","158651"
"269","166957","123116","195807","158682"
"270","153943","123116","195807","158665"
"271","153198","123116","195807","158644"
"272","168880","123116","195807","158682"
"273","147656","123116","195807","158642"
"274","137006","123116","195807","158563"
"275","157866","123116","195807","158560"
"276","170712","123116","195807","158604"
"277","149984","123116","195807","158573"
"278","169598","123116","195807","158613"
"279","149850","123116","195807","158581"
"280","152228","123116","195807","158559"
"281","161404","123116","195807","158569"
"282","147765","123116","195807","158530"
"283","169234","123116","195807","158568"
"284","153544","123116","195807","158551"
"285","149168","123116","195807","158518"
"286","160320","123116","195807","158524"
"287","164510","123116","195807","158545"
"288","178185","123116","195807","158613"
"289","152283","123116","195807","158591"
"290","170819","123116","195807","158633"
"291","159354","123116","195807","158636"
"292","173552","123116","195807","158687"
"293","166138","123116","195807","158712"
"294","161291","123116","195807","158721"
"295","150102","123116","195807","158692"
"296","164656","123116","195807","158712"
"297","179876","123116","195807","158783"
"298","168746","123116","195807","158817"
"299","157187","123116","195807","158811"
"300","159666","123116","195807","158814"
"301","159074","123116","195807","158815"
"302","159977","123116","195807","158819"
"303","140524","123116","195807","158758"
"304","172582","123116","195807","158804"
"305","158164","123116","195807","158802"
"306","131508","123116","195807","158713"
"307","150273","123116","195807","158685"
"308","150171","123116","195807","158657"
"309","158201","123116","195807","158656"
"310","162020","123116","195807","158667"
"311","168523","123116","195807","158698"
"312","140300","123116","195807","158640"
"313","163720","123116","195807","158656"
"314","138916","123116","195807","158593"
"315","166810","123116","195807","158619"
"316","141157","123116","195807","158564"
"317","159316","123116","195807","158566"
"318","158293","123116","195807","158565"
"319","141204","123116","195807","158511"
"320","144842","123116","195807","158468"
"321","145806","123116","195807","158429"
"322","174202","123116","195807","158478"
"323","157876","123116","195807","158476"
"324","157549","123116","195807","158473"
"325","150818","123116","195807","158449"
"326","156142","123116","195807","158442"
"327","166942","123116","195807","158468"
"328","158027","123116","195807","158467"
"329","151320","123116","195807","158445"
"330","163039","123116","195807","158459"
"331","150728","123116","195807","158436"
"332","169540","123116","195807","158469"
"333","158641","123116","195807","158470"
"334","156908","123116","195807","158465"
"335","159095","123116","195807","158467"
"336","150948","123116","195807","158445"
