"Iteracja","Current","Best","Worst","Average"
"1","147438","147438","147438","147438"
"2","145228","145228","147438","146333"
"3","148383","145228","148383","147016"
"4","177699","145228","177699","154687"
"5","176238","145228","177699","158997"
"6","153401","145228","177699","158064"
"7","138678","138678","177699","155295"
"8","169475","138678","177699","157067"
"9","163034","138678","177699","157730"
"10","161423","138678","177699","158099"
"11","169103","138678","177699","159100"
"12","160013","138678","177699","159176"
"13","153324","138678","177699","158725"
"14","150466","138678","177699","158135"
"15","160544","138678","177699","158296"
"16","154778","138678","177699","158076"
"17","165068","138678","177699","158487"
"18","150512","138678","177699","158044"
"19","159777","138678","177699","158135"
"20","151211","138678","177699","157789"
"21","162401","138678","177699","158009"
"22","160155","138678","177699","158106"
"23","156404","138678","177699","158032"
"24","154117","138678","177699","157869"
"25","159623","138678","177699","157939"
"26","145895","138678","177699","157476"
"27","159780","138678","177699","157561"
"28","144153","138678","177699","157082"
"29","168588","138678","177699","157479"
"30","151453","138678","177699","157278"
"31","160649","138678","177699","157387"
"32","146938","138678","177699","157060"
"33","173855","138678","177699","157569"
"34","162930","138678","177699","157727"
"35","161075","138678","177699","157823"
"36","159750","138678","177699","157876"
"37","128506","128506","177699","157082"
"38","170349","128506","177699","157431"
"39","163980","128506","177699","157599"
"40","139856","128506","177699","157156"
"41","165844","128506","177699","157368"
"42","150170","128506","177699","157196"
"43","150654","128506","177699","157044"
"44","163237","128506","177699","157185"
"45","159683","128506","177699","157240"
"46","172748","128506","177699","157577"
"47","178829","128506","178829","158030"
"48","148393","128506","178829","157829"
"49","158903","128506","178829","157851"
"50","147064","128506","178829","157635"
"51","146529","128506","178829","157417"
"52","158283","128506","178829","157434"
"53","149411","128506","178829","157282"
"54","148004","128506","178829","157111"
"55","140174","128506","178829","156803"
"56","141576","128506","178829","156531"
"57","139873","128506","178829","156239"
"58","145252","128506","178829","156049"
"59","160728","128506","178829","156128"
"60","129849","128506","178829","155690"
"61","152935","128506","178829","155645"
"62","155467","128506","178829","155642"
"63","142285","128506","178829","155430"
"64","174446","128506","178829","155727"
"65","149898","128506","178829","155638"
"66","158058","128506","178829","155674"
