"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","2282","6998","2648","977.2370463298606"
"2","2084","5860","2214","424.7501904057843"
"3","2181","6325","2294","388.77417973337685"
"4","2033","6280","2196","441.0645317632217"
"5","2080","5635","2201","437.46149377232047"
"6","2078","5650","2208","432.36461592799196"
"7","2228","5193","2321","332.622441952674"
"8","2084","6388","2249","481.8751273547536"
"9","2265","6273","2365","398.8769783086509"
"10","2155","5362","2253","353.7563893652099"
