"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","2123","6910","2305","520.423914955145"
"2","2110","5295","2219","298.0610223501892"
"3","2082","5857","2218","427.64357836403906"
"4","2086","6482","2212","466.5603981547941"
"5","2135","5980","2266","423.8541578245871"
"6","2119","5302","2239","410.19487023119876"
"7","2066","6535","2192","435.0912341368302"
"8","2226","6705","2348","444.60898420943994"
"9","2206","6015","2316","377.87817696183515"
"10","2163","5928","2269","359.7049452185916"
