"Iteracja","Current","Best","Worst","Average"
"1","2258","2258","2258","2258"
"2","2279","2258","2279","2268"
"3","2356","2258","2356","2297"
"4","2288","2258","2356","2295"
"5","2435","2258","2435","2323"
"6","2507","2258","2507","2353"
"7","2464","2258","2507","2369"
"8","2582","2258","2582","2396"
"9","2588","2258","2588","2417"
"10","2394","2258","2588","2415"
"11","2380","2258","2588","2411"
"12","2442","2258","2588","2414"
"13","2332","2258","2588","2408"
"14","2293","2258","2588","2399"
"15","2333","2258","2588","2395"
"16","2146","2146","2588","2379"
"17","2293","2146","2588","2374"
"18","2382","2146","2588","2375"
"19","2402","2146","2588","2376"
"20","2307","2146","2588","2373"
"21","2374","2146","2588","2373"
"22","2340","2146","2588","2371"
"23","2134","2134","2588","2361"
"24","2161","2134","2588","2352"
"25","2375","2134","2588","2353"
"26","2428","2134","2588","2356"
"27","2134","2134","2588","2348"
"28","2411","2134","2588","2350"
"29","2356","2134","2588","2350"
