"Iteracja","Current","Best","Worst","Average"
"1","6208","6208","6208","6208"
"2","5782","5782","6208","5995"
"3","6616","5782","6616","6202"
"4","5014","5014","6616","5905"
"5","6321","5014","6616","5988"
"6","6174","5014","6616","6019"
"7","6770","5014","6770","6126"
"8","6422","5014","6770","6163"
"9","6170","5014","6770","6164"
"10","7260","5014","7260","6273"
"11","6099","5014","7260","6257"
"12","6304","5014","7260","6261"
"13","5490","5014","7260","6202"
"14","6460","5014","7260","6220"
"15","5475","5014","7260","6171"
"16","5495","5014","7260","6128"
"17","4578","4578","7260","6037"
"18","6441","4578","7260","6059"
"19","6292","4578","7260","6072"
"20","6650","4578","7260","6101"
"21","5571","4578","7260","6075"
"22","5758","4578","7260","6061"
"23","5834","4578","7260","6051"
"24","5496","4578","7260","6028"
"25","5730","4578","7260","6016"
"26","6075","4578","7260","6018"
"27","6069","4578","7260","6020"
"28","6604","4578","7260","6041"
"29","5837","4578","7260","6034"
"30","5239","4578","7260","6007"
"31","6037","4578","7260","6008"
"32","6103","4578","7260","6011"
"33","6353","4578","7260","6022"
"34","6394","4578","7260","6032"
"35","6108","4578","7260","6035"
"36","6348","4578","7260","6043"
"37","5995","4578","7260","6042"
"38","5849","4578","7260","6037"
"39","6401","4578","7260","6046"
"40","6434","4578","7260","6056"
"41","6264","4578","7260","6061"
"42","6717","4578","7260","6077"
"43","6176","4578","7260","6079"
"44","6483","4578","7260","6088"
"45","6775","4578","7260","6103"
"46","5639","4578","7260","6093"
"47","5400","4578","7260","6078"
"48","6473","4578","7260","6087"
"49","6133","4578","7260","6088"
"50","5440","4578","7260","6075"
"51","6223","4578","7260","6078"
"52","6520","4578","7260","6086"
"53","6836","4578","7260","6100"
"54","6735","4578","7260","6112"
"55","6078","4578","7260","6111"
"56","5732","4578","7260","6105"
"57","6134","4578","7260","6105"
"58","6565","4578","7260","6113"
"59","6104","4578","7260","6113"
"60","6005","4578","7260","6111"
"61","6169","4578","7260","6112"
"62","6296","4578","7260","6115"
"63","5210","4578","7260","6101"
"64","6471","4578","7260","6106"
"65","6557","4578","7260","6113"
"66","5797","4578","7260","6108"
"67","6191","4578","7260","6110"
"68","5974","4578","7260","6108"
"69","6550","4578","7260","6114"
"70","6363","4578","7260","6118"
"71","6079","4578","7260","6117"
"72","5919","4578","7260","6114"
"73","6420","4578","7260","6118"
"74","6397","4578","7260","6122"
"75","5854","4578","7260","6119"
"76","6468","4578","7260","6123"
"77","5761","4578","7260","6119"
"78","5944","4578","7260","6116"
"79","6146","4578","7260","6117"
"80","5210","4578","7260","6105"
"81","6430","4578","7260","6109"
"82","6236","4578","7260","6111"
"83","5313","4578","7260","6101"
"84","5627","4578","7260","6096"
"85","5660","4578","7260","6090"
"86","6030","4578","7260","6090"
"87","5607","4578","7260","6084"
"88","6155","4578","7260","6085"
"89","5459","4578","7260","6078"
"90","5500","4578","7260","6072"
"91","5378","4578","7260","6064"
"92","5057","4578","7260","6053"
"93","6856","4578","7260","6062"
"94","5730","4578","7260","6058"
"95","6160","4578","7260","6059"
"96","5914","4578","7260","6058"
"97","5907","4578","7260","6056"
"98","6322","4578","7260","6059"
"99","6513","4578","7260","6063"
"100","5840","4578","7260","6061"
"101","5819","4578","7260","6059"
"102","6134","4578","7260","6059"
"103","6146","4578","7260","6060"
"104","7134","4578","7260","6071"
"105","6927","4578","7260","6079"
"106","5742","4578","7260","6076"
"107","5271","4578","7260","6068"
"108","5590","4578","7260","6064"
"109","6134","4578","7260","6064"
"110","5858","4578","7260","6062"
"111","4573","4573","7260","6049"
"112","6750","4573","7260","6055"
"113","5007","4573","7260","6046"
"114","6616","4573","7260","6051"
"115","5960","4573","7260","6050"
"116","6283","4573","7260","6052"
"117","5913","4573","7260","6051"
"118","5742","4573","7260","6048"
"119","6180","4573","7260","6049"
"120","5772","4573","7260","6047"
"121","6456","4573","7260","6050"
"122","5919","4573","7260","6049"
"123","6523","4573","7260","6053"
"124","6358","4573","7260","6056"
"125","5041","4573","7260","6048"
"126","6108","4573","7260","6048"
"127","6347","4573","7260","6050"
"128","6126","4573","7260","6051"
"129","5497","4573","7260","6047"
"130","7042","4573","7260","6054"
"131","6678","4573","7260","6059"
"132","5881","4573","7260","6058"
"133","6201","4573","7260","6059"
"134","6131","4573","7260","6059"
"135","6094","4573","7260","6060"
"136","5113","4573","7260","6053"
"137","5774","4573","7260","6051"
"138","5496","4573","7260","6047"
"139","6244","4573","7260","6048"
"140","5533","4573","7260","6044"
"141","6604","4573","7260","6048"
"142","5394","4573","7260","6044"
"143","6156","4573","7260","6044"
"144","5310","4573","7260","6039"
"145","6108","4573","7260","6040"
"146","5885","4573","7260","6039"
"147","5754","4573","7260","6037"
"148","5663","4573","7260","6034"
"149","6453","4573","7260","6037"
"150","5663","4573","7260","6035"
"151","6316","4573","7260","6036"
"152","6458","4573","7260","6039"
"153","5752","4573","7260","6037"
"154","6815","4573","7260","6042"
"155","6244","4573","7260","6044"
"156","6625","4573","7260","6047"
"157","5667","4573","7260","6045"
"158","6288","4573","7260","6047"
"159","6129","4573","7260","6047"
"160","6053","4573","7260","6047"
"161","6030","4573","7260","6047"
"162","6035","4573","7260","6047"
"163","6708","4573","7260","6051"
"164","6000","4573","7260","6051"
"165","6300","4573","7260","6052"
"166","5707","4573","7260","6050"
"167","6298","4573","7260","6052"
"168","5217","4573","7260","6047"
"169","5692","4573","7260","6044"
"170","6097","4573","7260","6045"
"171","5589","4573","7260","6042"
"172","5645","4573","7260","6040"
"173","6632","4573","7260","6043"
"174","5568","4573","7260","6040"
"175","5149","4573","7260","6035"
"176","5730","4573","7260","6034"
"177","6052","4573","7260","6034"
"178","5919","4573","7260","6033"
"179","5870","4573","7260","6032"
"180","6547","4573","7260","6035"
"181","5919","4573","7260","6034"
"182","5521","4573","7260","6032"
"183","6108","4573","7260","6032"
"184","5902","4573","7260","6031"
"185","5983","4573","7260","6031"
"186","5987","4573","7260","6031"
"187","6136","4573","7260","6031"
"188","5569","4573","7260","6029"
"189","6380","4573","7260","6031"
"190","5790","4573","7260","6029"
"191","5621","4573","7260","6027"
"192","6043","4573","7260","6027"
"193","5951","4573","7260","6027"
"194","5832","4573","7260","6026"
"195","5348","4573","7260","6022"
"196","5546","4573","7260","6020"
"197","5923","4573","7260","6020"
"198","5628","4573","7260","6018"
"199","5350","4573","7260","6014"
"200","6356","4573","7260","6016"
"201","5874","4573","7260","6015"
"202","6204","4573","7260","6016"
"203","5376","4573","7260","6013"
"204","5312","4573","7260","6010"
"205","6690","4573","7260","6013"
"206","6033","4573","7260","6013"
"207","5362","4573","7260","6010"
"208","5995","4573","7260","6010"
"209","5486","4573","7260","6007"
"210","6618","4573","7260","6010"
"211","5249","4573","7260","6007"
"212","4853","4573","7260","6001"
"213","6017","4573","7260","6001"
"214","5489","4573","7260","5999"
"215","6372","4573","7260","6001"
"216","6643","4573","7260","6003"
"217","5561","4573","7260","6001"
"218","5233","4573","7260","5998"
"219","6103","4573","7260","5998"
"220","5922","4573","7260","5998"
"221","5846","4573","7260","5997"
"222","6613","4573","7260","6000"
"223","5856","4573","7260","5999"
"224","5281","4573","7260","5996"
"225","6120","4573","7260","5997"
"226","5578","4573","7260","5995"
"227","6589","4573","7260","5998"
