"Iteracja","Current","Best","Worst","Average"
"1","5743","5743","5743","5743"
"2","6449","5743","6449","6096"
"3","6043","5743","6449","6078"
"4","5854","5743","6449","6022"
"5","6136","5743","6449","6045"
"6","5374","5374","6449","5933"
"7","6495","5374","6495","6013"
"8","5771","5374","6495","5983"
"9","5920","5374","6495","5976"
"10","6045","5374","6495","5983"
"11","5915","5374","6495","5976"
"12","6279","5374","6495","6002"
"13","5897","5374","6495","5993"
"14","5489","5374","6495","5957"
"15","5984","5374","6495","5959"
"16","6165","5374","6495","5972"
"17","5363","5363","6495","5936"
"18","5858","5363","6495","5932"
"19","6539","5363","6539","5964"
"20","5545","5363","6539","5943"
"21","6176","5363","6539","5954"
"22","5952","5363","6539","5954"
"23","6276","5363","6539","5968"
"24","6124","5363","6539","5974"
"25","6320","5363","6539","5988"
"26","6781","5363","6781","6018"
"27","6905","5363","6905","6051"
"28","6003","5363","6905","6050"
"29","6343","5363","6905","6060"
"30","6274","5363","6905","6067"
"31","5136","5136","6905","6037"
"32","6755","5136","6905","6059"
"33","6336","5136","6905","6068"
"34","5689","5136","6905","6056"
"35","6414","5136","6905","6067"
"36","5703","5136","6905","6056"
"37","5964","5136","6905","6054"
"38","5736","5136","6905","6046"
"39","6591","5136","6905","6060"
"40","5440","5136","6905","6044"
"41","5801","5136","6905","6038"
"42","5552","5136","6905","6027"
"43","5599","5136","6905","6017"
"44","5720","5136","6905","6010"
"45","5128","5128","6905","5990"
"46","5866","5128","6905","5988"
"47","6032","5128","6905","5988"
"48","5863","5128","6905","5986"
"49","5915","5128","6905","5984"
"50","5983","5128","6905","5984"
"51","6253","5128","6905","5990"
"52","6432","5128","6905","5998"
"53","5985","5128","6905","5998"
"54","5395","5128","6905","5987"
"55","6242","5128","6905","5991"
"56","6192","5128","6905","5995"
"57","5360","5128","6905","5984"
"58","6229","5128","6905","5988"
"59","5205","5128","6905","5975"
"60","5906","5128","6905","5974"
"61","6296","5128","6905","5979"
"62","6132","5128","6905","5981"
"63","5879","5128","6905","5980"
"64","6101","5128","6905","5982"
"65","5724","5128","6905","5978"
"66","6483","5128","6905","5985"
"67","6225","5128","6905","5989"
"68","6555","5128","6905","5997"
"69","5719","5128","6905","5993"
"70","5477","5128","6905","5986"
"71","5878","5128","6905","5984"
"72","4897","4897","6905","5969"
"73","6064","4897","6905","5970"
"74","6302","4897","6905","5975"
"75","6441","4897","6905","5981"
"76","5871","4897","6905","5980"
"77","5429","4897","6905","5972"
"78","5482","4897","6905","5966"
"79","5760","4897","6905","5963"
"80","5334","4897","6905","5956"
"81","5492","4897","6905","5950"
"82","5354","4897","6905","5943"
"83","6112","4897","6905","5945"
"84","5673","4897","6905","5941"
"85","6075","4897","6905","5943"
"86","5428","4897","6905","5937"
"87","5470","4897","6905","5932"
"88","6554","4897","6905","5939"
"89","6780","4897","6905","5948"
"90","6131","4897","6905","5950"
"91","5435","4897","6905","5944"
"92","5559","4897","6905","5940"
"93","5913","4897","6905","5940"
"94","5497","4897","6905","5935"
"95","6915","4897","6915","5946"
"96","5961","4897","6915","5946"
"97","6411","4897","6915","5951"
"98","6864","4897","6915","5960"
"99","6048","4897","6915","5961"
"100","5644","4897","6915","5958"
"101","5838","4897","6915","5956"
"102","5449","4897","6915","5951"
"103","6041","4897","6915","5952"
"104","5962","4897","6915","5952"
"105","6351","4897","6915","5956"
"106","5556","4897","6915","5952"
"107","6447","4897","6915","5957"
"108","5468","4897","6915","5952"
"109","5665","4897","6915","5950"
"110","6004","4897","6915","5950"
"111","5416","4897","6915","5945"
"112","6137","4897","6915","5947"
"113","5787","4897","6915","5946"
"114","5777","4897","6915","5944"
"115","5621","4897","6915","5941"
"116","5812","4897","6915","5940"
"117","5459","4897","6915","5936"
"118","6133","4897","6915","5938"
"119","6116","4897","6915","5939"
"120","5812","4897","6915","5938"
"121","6510","4897","6915","5943"
"122","6149","4897","6915","5945"
"123","6535","4897","6915","5950"
"124","4927","4897","6915","5941"
"125","5307","4897","6915","5936"
"126","5290","4897","6915","5931"
"127","5699","4897","6915","5929"
"128","5944","4897","6915","5929"
"129","7110","4897","7110","5938"
"130","5905","4897","7110","5938"
"131","5450","4897","7110","5934"
"132","5960","4897","7110","5935"
"133","6585","4897","7110","5940"
"134","6569","4897","7110","5944"
"135","5311","4897","7110","5940"
"136","6617","4897","7110","5945"
"137","6179","4897","7110","5946"
"138","6209","4897","7110","5948"
"139","6555","4897","7110","5953"
"140","5899","4897","7110","5952"
"141","6533","4897","7110","5956"
"142","6512","4897","7110","5960"
"143","5801","4897","7110","5959"
"144","5521","4897","7110","5956"
"145","6072","4897","7110","5957"
"146","5650","4897","7110","5955"
"147","5809","4897","7110","5954"
"148","5495","4897","7110","5951"
"149","6125","4897","7110","5952"
"150","5894","4897","7110","5951"
"151","6909","4897","7110","5958"
"152","5527","4897","7110","5955"
"153","6320","4897","7110","5957"
"154","6274","4897","7110","5959"
"155","5833","4897","7110","5958"
"156","5981","4897","7110","5959"
"157","6952","4897","7110","5965"
"158","5822","4897","7110","5964"
"159","6114","4897","7110","5965"
"160","6534","4897","7110","5969"
"161","5898","4897","7110","5968"
"162","6236","4897","7110","5970"
"163","6806","4897","7110","5975"
"164","5400","4897","7110","5971"
"165","5812","4897","7110","5970"
"166","5413","4897","7110","5967"
"167","5053","4897","7110","5962"
"168","6533","4897","7110","5965"
"169","6196","4897","7110","5966"
"170","5515","4897","7110","5964"
"171","5378","4897","7110","5960"
"172","5568","4897","7110","5958"
"173","6341","4897","7110","5960"
"174","5288","4897","7110","5956"
"175","6528","4897","7110","5960"
"176","6052","4897","7110","5960"
"177","5709","4897","7110","5959"
"178","5657","4897","7110","5957"
"179","6117","4897","7110","5958"
"180","6870","4897","7110","5963"
"181","6148","4897","7110","5964"
"182","5680","4897","7110","5962"
"183","5670","4897","7110","5961"
"184","6720","4897","7110","5965"
"185","6197","4897","7110","5966"
"186","5163","4897","7110","5962"
"187","5883","4897","7110","5961"
"188","5835","4897","7110","5961"
"189","6097","4897","7110","5961"
"190","5654","4897","7110","5960"
"191","6047","4897","7110","5960"
"192","6736","4897","7110","5964"
"193","5654","4897","7110","5963"
"194","5769","4897","7110","5962"
"195","5729","4897","7110","5961"
"196","6193","4897","7110","5962"
"197","6226","4897","7110","5963"
"198","6209","4897","7110","5964"
"199","5399","4897","7110","5961"
"200","6146","4897","7110","5962"
"201","6466","4897","7110","5965"
"202","5890","4897","7110","5964"
"203","5802","4897","7110","5964"
"204","6052","4897","7110","5964"
"205","6043","4897","7110","5964"
"206","6635","4897","7110","5968"
"207","5915","4897","7110","5967"
"208","6068","4897","7110","5968"
"209","6369","4897","7110","5970"
"210","5540","4897","7110","5968"
"211","5966","4897","7110","5968"
"212","5695","4897","7110","5967"
"213","6207","4897","7110","5968"
"214","5937","4897","7110","5968"
"215","5621","4897","7110","5966"
"216","5236","4897","7110","5963"
"217","6241","4897","7110","5964"
"218","6450","4897","7110","5966"
"219","5415","4897","7110","5964"
"220","6180","4897","7110","5964"
"221","5850","4897","7110","5964"
"222","5791","4897","7110","5963"
"223","5918","4897","7110","5963"
"224","5580","4897","7110","5961"
"225","6096","4897","7110","5962"
"226","5804","4897","7110","5961"
"227","6762","4897","7110","5965"
"228","6106","4897","7110","5965"
"229","5864","4897","7110","5965"
"230","6321","4897","7110","5966"
"231","5656","4897","7110","5965"
"232","6404","4897","7110","5967"
"233","6227","4897","7110","5968"
"234","6135","4897","7110","5969"
"235","5202","4897","7110","5966"
"236","6393","4897","7110","5967"
"237","5925","4897","7110","5967"
"238","5626","4897","7110","5966"
"239","5884","4897","7110","5965"
"240","6151","4897","7110","5966"
"241","5772","4897","7110","5965"
"242","6316","4897","7110","5967"
"243","6754","4897","7110","5970"
"244","5695","4897","7110","5969"
"245","5806","4897","7110","5968"
"246","5958","4897","7110","5968"
"247","6740","4897","7110","5971"
"248","6356","4897","7110","5973"
"249","6257","4897","7110","5974"
"250","5613","4897","7110","5973"
"251","6027","4897","7110","5973"
"252","5792","4897","7110","5972"
"253","5886","4897","7110","5972"
"254","5770","4897","7110","5971"
"255","6019","4897","7110","5971"
"256","6481","4897","7110","5973"
"257","5362","4897","7110","5971"
"258","6214","4897","7110","5972"
"259","4953","4897","7110","5968"
"260","5914","4897","7110","5967"
"261","5654","4897","7110","5966"
"262","6231","4897","7110","5967"
"263","5576","4897","7110","5966"
"264","5917","4897","7110","5966"
"265","5385","4897","7110","5963"
"266","4954","4897","7110","5960"
"267","5318","4897","7110","5957"
"268","5857","4897","7110","5957"
"269","5782","4897","7110","5956"
"270","6297","4897","7110","5957"
"271","5258","4897","7110","5955"
"272","6738","4897","7110","5958"
"273","6356","4897","7110","5959"
"274","5486","4897","7110","5957"
"275","5750","4897","7110","5957"
"276","5845","4897","7110","5956"
"277","5646","4897","7110","5955"
"278","6140","4897","7110","5956"
"279","5866","4897","7110","5956"
"280","6676","4897","7110","5958"
"281","5820","4897","7110","5958"
"282","6113","4897","7110","5958"
"283","6021","4897","7110","5958"
"284","5897","4897","7110","5958"
"285","6238","4897","7110","5959"
"286","6192","4897","7110","5960"
"287","6481","4897","7110","5962"
"288","6364","4897","7110","5963"
"289","6689","4897","7110","5966"
"290","5581","4897","7110","5964"
"291","6065","4897","7110","5965"
"292","5906","4897","7110","5964"
"293","6057","4897","7110","5965"
"294","6160","4897","7110","5965"
"295","5211","4897","7110","5963"
"296","5866","4897","7110","5963"
"297","6842","4897","7110","5966"
"298","6593","4897","7110","5968"
"299","6792","4897","7110","5970"
"300","6361","4897","7110","5972"
"301","5172","4897","7110","5969"
"302","5773","4897","7110","5968"
"303","5684","4897","7110","5967"
"304","6269","4897","7110","5968"
"305","5955","4897","7110","5968"
"306","6850","4897","7110","5971"
"307","6454","4897","7110","5973"
"308","5809","4897","7110","5972"
"309","5632","4897","7110","5971"
"310","5240","4897","7110","5969"
"311","5555","4897","7110","5968"
"312","6247","4897","7110","5968"
"313","5565","4897","7110","5967"
"314","5064","4897","7110","5964"
"315","5798","4897","7110","5964"
"316","5742","4897","7110","5963"
"317","6583","4897","7110","5965"
"318","6181","4897","7110","5966"
"319","5963","4897","7110","5966"
"320","5921","4897","7110","5965"
"321","6154","4897","7110","5966"
"322","5666","4897","7110","5965"
"323","5613","4897","7110","5964"
"324","6382","4897","7110","5965"
"325","5812","4897","7110","5965"
"326","6124","4897","7110","5965"
"327","6200","4897","7110","5966"
"328","6553","4897","7110","5968"
"329","5934","4897","7110","5968"
"330","6419","4897","7110","5969"
"331","6454","4897","7110","5971"
"332","5998","4897","7110","5971"
"333","5625","4897","7110","5970"
"334","6358","4897","7110","5971"
"335","6277","4897","7110","5972"
"336","5713","4897","7110","5971"
"337","6261","4897","7110","5972"
"338","5692","4897","7110","5971"
"339","6332","4897","7110","5972"
"340","5567","4897","7110","5971"
"341","5963","4897","7110","5971"
"342","6666","4897","7110","5973"
"343","5608","4897","7110","5972"
"344","5834","4897","7110","5971"
"345","5973","4897","7110","5971"
"346","5661","4897","7110","5970"
"347","5761","4897","7110","5970"
"348","5965","4897","7110","5970"
"349","5685","4897","7110","5969"
"350","6049","4897","7110","5969"
"351","5648","4897","7110","5968"
"352","6794","4897","7110","5971"
"353","5938","4897","7110","5971"
"354","6113","4897","7110","5971"
"355","6031","4897","7110","5971"
"356","5853","4897","7110","5971"
"357","6821","4897","7110","5973"
"358","6071","4897","7110","5973"
"359","5759","4897","7110","5973"
"360","6507","4897","7110","5974"
"361","6332","4897","7110","5975"
"362","6162","4897","7110","5976"
"363","6207","4897","7110","5976"
"364","5644","4897","7110","5976"
"365","5656","4897","7110","5975"
"366","6044","4897","7110","5975"
"367","5788","4897","7110","5974"
"368","6337","4897","7110","5975"
"369","5548","4897","7110","5974"
"370","6175","4897","7110","5975"
"371","5477","4897","7110","5973"
"372","5318","4897","7110","5972"
"373","6154","4897","7110","5972"
"374","5557","4897","7110","5971"
"375","6280","4897","7110","5972"
"376","6117","4897","7110","5972"
"377","5911","4897","7110","5972"
"378","5868","4897","7110","5972"
"379","5671","4897","7110","5971"
"380","5007","4897","7110","5968"
"381","6453","4897","7110","5970"
"382","5503","4897","7110","5969"
"383","6115","4897","7110","5969"
"384","6535","4897","7110","5970"
"385","6184","4897","7110","5971"
"386","5767","4897","7110","5970"
"387","6252","4897","7110","5971"
"388","6203","4897","7110","5972"
"389","5756","4897","7110","5971"
"390","6096","4897","7110","5971"
"391","5846","4897","7110","5971"
"392","6126","4897","7110","5972"
"393","5999","4897","7110","5972"
"394","5918","4897","7110","5971"
"395","5563","4897","7110","5970"
"396","6654","4897","7110","5972"
"397","6219","4897","7110","5973"
"398","5774","4897","7110","5972"
"399","5072","4897","7110","5970"
"400","5881","4897","7110","5970"
"401","5815","4897","7110","5969"
"402","6663","4897","7110","5971"
"403","6354","4897","7110","5972"
"404","6180","4897","7110","5973"
"405","6180","4897","7110","5973"
"406","5383","4897","7110","5972"
"407","6516","4897","7110","5973"
"408","6530","4897","7110","5974"
"409","5508","4897","7110","5973"
"410","5189","4897","7110","5971"
"411","6047","4897","7110","5971"
"412","5103","4897","7110","5969"
"413","6059","4897","7110","5970"
"414","5334","4897","7110","5968"
"415","5828","4897","7110","5968"
"416","5320","4897","7110","5966"
"417","6185","4897","7110","5967"
"418","7293","4897","7293","5970"
"419","6479","4897","7293","5971"
"420","5744","4897","7293","5971"
"421","6060","4897","7293","5971"
"422","6485","4897","7293","5972"
"423","5470","4897","7293","5971"
"424","6310","4897","7293","5972"
"425","6569","4897","7293","5973"
"426","5832","4897","7293","5973"
"427","6216","4897","7293","5973"
"428","6045","4897","7293","5973"
"429","5778","4897","7293","5973"
"430","5835","4897","7293","5973"
"431","6558","4897","7293","5974"
"432","5656","4897","7293","5973"
"433","5726","4897","7293","5973"
"434","6134","4897","7293","5973"
"435","5622","4897","7293","5972"
"436","6042","4897","7293","5972"
"437","6167","4897","7293","5973"
"438","5816","4897","7293","5972"
"439","5651","4897","7293","5972"
"440","6090","4897","7293","5972"
"441","6406","4897","7293","5973"
