"Iteracja","Best Result","Worst Result","Average Cost"
"1","58950826","59904070","59437530"
"2","58950826","59836534","59429622"
"3","58950826","59815626","59426996"
"4","58950826","59784979","59422783"
"5","58950826","59758658","59419087"
"6","58950826","59758658","59419087"
"7","58950826","59752187","59417447"
"8","58950826","59749274","59413376"
"9","58950826","59745997","59412241"
"10","58950826","59745997","59412241"
"11","58950826","59741298","59406435"
"12","58950826","59724805","59404608"
"13","58887041","59715870","59400052"
"14","58887041","59711894","59396793"
"15","58887041","59705518","59392425"
"16","58887041","59692121","59386549"
"17","58887041","59682517","59384390"
"18","58887041","59675944","59380759"
"19","58887041","59668055","59379666"
"20","58887041","59668055","59379666"
"21","58887041","59666596","59378654"
"22","58887041","59663551","59377632"
"23","58887041","59658862","59373650"
"24","58887041","59649051","59369255"
"25","58872624","59634355","59358636"
"26","58872624","59634355","59358636"
"27","58872624","59629264","59356272"
"28","58872624","59629264","59356272"
"29","58872624","59625549","59353627"
"30","58872624","59622628","59352033"
"31","58872624","59619798","59348202"
"32","58872624","59602215","59344133"
"33","58872624","59602215","59344133"
"34","58872624","59602215","59344133"
"35","58872624","59602180","59342534"
"36","58872624","59599459","59340863"
"37","58872624","59596541","59339874"
"38","58872624","59594945","59337886"
"39","58872624","59584511","59331073"
"40","58872624","59581725","59326078"
"41","58872624","59575774","59324587"
"42","58872624","59575693","59323511"
"43","58872624","59574307","59322088"
"44","58872624","59572919","59317190"
"45","58872624","59572919","59317190"
"46","58872624","59572919","59317190"
"47","58872624","59570794","59314292"
"48","58872624","59565836","59312396"
"49","58872624","59564394","59308515"
"50","58869040","59563542","59303049"
"51","58869040","59554630","59297602"
"52","58869040","59553493","59296286"
"53","58869040","59547851","59292742"
"54","58869040","59539802","59288527"
"55","58869040","59532172","59286389"
"56","58869040","59531786","59285057"
"57","58869040","59531786","59285057"
"58","58869040","59525040","59283184"
"59","58869040","59523971","59281809"
"60","58869040","59522925","59279773"
"61","58869040","59516526","59277441"
"62","58837572","59512974","59275178"
"63","58837572","59512974","59275178"
"64","58837572","59510202","59273993"
"65","58837572","59508585","59269792"
"66","58837572","59508430","59268442"
"67","58837572","59507967","59267369"
"68","58837572","59507558","59264120"
"69","58837572","59506353","59260786"
"70","58701842","59497499","59255238"
"71","58701842","59494077","59251820"
"72","58701842","59490499","59248117"
"73","58701842","59488492","59245087"
"74","58701842","59482954","59241009"
"75","58701842","59482954","59241009"
"76","58701842","59481186","59238526"
"77","58701842","59477440","59236777"
"78","58701842","59474278","59231576"
"79","58701842","59471932","59227821"
"80","58701842","59471359","59226125"
"81","58701842","59466149","59222409"
"82","58701842","59465878","59221092"
"83","58701842","59465853","59219282"
"84","58701842","59465853","59219282"
"85","58701842","59459776","59216405"
"86","58701842","59458503","59214785"
"87","58701842","59457802","59213244"
"88","58701842","59455581","59212237"
"89","58701842","59455581","59212237"
"90","58701842","59455112","59210831"
"91","58701842","59452216","59207675"
"92","58701842","59451711","59206419"
"93","58701842","59450450","59205213"
"94","58701842","59448301","59200941"
"95","58701842","59447437","59199302"
"96","58701842","59446526","59196294"
"97","58701842","59446227","59193268"
"98","58701842","59441071","59188563"
"99","58701842","59439209","59186116"
"100","58701842","59436795","59182566"
