"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","38713","198756","71120","36389.73898428628"
"2","41755","199260","69468","32436.645469037994"
"3","44122","198684","70183","31662.575295015205"
"4","36820","190020","71048","35050.3362832765"
"5","45857","195436","72239","29303.143320160885"
"6","40326","188652","73588","35641.27480686982"
"7","37314","190111","67964","34595.973919775606"
"8","42038","196776","72309","32046.254314474856"
"9","37610","188245","67346","31899.416085557656"
"10","40879","186294","73919","31106.675081015146"
