"Iteracja","Current","Best","Worst","Average"
"1","18513","18513","18513","18513"
"2","20243","18513","20243","19378"
"3","20243","18513","20243","19666"
"4","20187","18513","20243","19796"
"5","20222","18513","20243","19881"
"6","20286","18513","20286","19949"
"7","20287","18513","20287","19997"
"8","19642","18513","20287","19952"
"9","19820","18513","20287","19938"
"10","19820","18513","20287","19926"
"11","19643","18513","20287","19900"
"12","19642","18513","20287","19879"
"13","19617","18513","20287","19858"
"14","20511","18513","20511","19905"
"15","20587","18513","20587","19950"
"16","18776","18513","20587","19877"
"17","18747","18513","20587","19810"
"18","18916","18513","20587","19761"
"19","18993","18513","20587","19720"
"20","18909","18513","20587","19680"
"21","18814","18513","20587","19638"
"22","19957","18513","20587","19653"
"23","18890","18513","20587","19620"
"24","18855","18513","20587","19588"
"25","18839","18513","20587","19558"
"26","18871","18513","20587","19531"
"27","19088","18513","20587","19515"
"28","19338","18513","20587","19509"
"29","18814","18513","20587","19485"
"30","18805","18513","20587","19462"
"31","19085","18513","20587","19450"
"32","19069","18513","20587","19438"
"33","19125","18513","20587","19428"
"34","19040","18513","20587","19417"
"35","18814","18513","20587","19400"
"36","18822","18513","20587","19384"
"37","18857","18513","20587","19369"
"38","19096","18513","20587","19362"
"39","19079","18513","20587","19355"
"40","19186","18513","20587","19351"
"41","19264","18513","20587","19349"
"42","19151","18513","20587","19344"
"43","18904","18513","20587","19334"
"44","18835","18513","20587","19322"
"45","18734","18513","20587","19309"
"46","19218","18513","20587","19307"
"47","19102","18513","20587","19303"
"48","19274","18513","20587","19302"
"49","19398","18513","20587","19304"
"50","19238","18513","20587","19303"
"51","19222","18513","20587","19301"
"52","19175","18513","20587","19299"
"53","19254","18513","20587","19298"
"54","18762","18513","20587","19288"
"55","18847","18513","20587","19280"
"56","19237","18513","20587","19279"
"57","19179","18513","20587","19277"
"58","19234","18513","20587","19277"
"59","18700","18513","20587","19267"
"60","18680","18513","20587","19257"
"61","19222","18513","20587","19257"
"62","18915","18513","20587","19251"
"63","18899","18513","20587","19245"
"64","19156","18513","20587","19244"
"65","19281","18513","20587","19245"
"66","20728","18513","20728","19267"
"67","18956","18513","20728","19262"
"68","19262","18513","20728","19262"
"69","19215","18513","20728","19262"
"70","19213","18513","20728","19261"
"71","19151","18513","20728","19259"
"72","19256","18513","20728","19259"
"73","19241","18513","20728","19259"
"74","18702","18513","20728","19252"
"75","19152","18513","20728","19250"
"76","19137","18513","20728","19249"
"77","19294","18513","20728","19249"
"78","19170","18513","20728","19248"
"79","19187","18513","20728","19248"
"80","19032","18513","20728","19245"
"81","19125","18513","20728","19243"
"82","19246","18513","20728","19243"
"83","19266","18513","20728","19244"
"84","18700","18513","20728","19237"
"85","18852","18513","20728","19233"
"86","20767","18513","20767","19250"
"87","20601","18513","20767","19266"
"88","19110","18513","20767","19264"
"89","19225","18513","20767","19264"
"90","19241","18513","20767","19263"
"91","18104","18104","20767","19251"
"92","18946","18104","20767","19247"
"93","19091","18104","20767","19246"
"94","19096","18104","20767","19244"
"95","18143","18104","20767","19233"
"96","19119","18104","20767","19231"
"97","18689","18104","20767","19226"
"98","20626","18104","20767","19240"
"99","20630","18104","20767","19254"
"100","20629","18104","20767","19268"
"101","19136","18104","20767","19267"
"102","18105","18104","20767","19255"
"103","19086","18104","20767","19253"
"104","18095","18095","20767","19242"
"105","18181","18095","20767","19232"
"106","18088","18088","20767","19221"
"107","18052","18052","20767","19210"
"108","17937","17937","20767","19199"
"109","17955","17937","20767","19187"
"110","18046","17937","20767","19177"
"111","18082","17937","20767","19167"
"112","18049","17937","20767","19157"
"113","18105","17937","20767","19148"
"114","18140","17937","20767","19139"
"115","18452","17937","20767","19133"
"116","18372","17937","20767","19126"
"117","18356","17937","20767","19120"
"118","18545","17937","20767","19115"
"119","18282","17937","20767","19108"
"120","18232","17937","20767","19101"
"121","18391","17937","20767","19095"
"122","18416","17937","20767","19089"
"123","18291","17937","20767","19083"
"124","18640","17937","20767","19079"
"125","17981","17937","20767","19070"
"126","17812","17812","20767","19060"
"127","17971","17812","20767","19052"
"128","17752","17752","20767","19042"
"129","18105","17752","20767","19034"
"130","18310","17752","20767","19029"
"131","18451","17752","20767","19024"
"132","18401","17752","20767","19020"
"133","18186","17752","20767","19013"
"134","18343","17752","20767","19008"
"135","18417","17752","20767","19004"
"136","18249","17752","20767","18998"
"137","17995","17752","20767","18991"
"138","17882","17752","20767","18983"
"139","18240","17752","20767","18978"
"140","18316","17752","20767","18973"
"141","18463","17752","20767","18969"
"142","18395","17752","20767","18965"
"143","18297","17752","20767","18961"
"144","18100","17752","20767","18955"
