"Iteracja","Current","Best","Worst","Average"
"1","180181","180181","180181","180181"
"2","192207","180181","192207","186194"
"3","193158","180181","193158","188515"
"4","191571","180181","193158","189279"
"5","190867","180181","193158","189596"
"6","202182","180181","202182","191694"
"7","189630","180181","202182","191399"
"8","181730","180181","202182","190190"
"9","193621","180181","202182","190571"
"10","196728","180181","202182","191187"
"11","192310","180181","202182","191289"
"12","209347","180181","209347","192794"
"13","198445","180181","209347","193229"
"14","197864","180181","209347","193560"
"15","193553","180181","209347","193559"
"16","180032","180032","209347","192714"
"17","181446","180032","209347","192051"
"18","182666","180032","209347","191529"
"19","189202","180032","209347","191407"
"20","187897","180032","209347","191231"
"21","174108","174108","209347","190416"
"22","179794","174108","209347","189933"
"23","189682","174108","209347","189922"
"24","203913","174108","209347","190505"
"25","194753","174108","209347","190675"
"26","173968","173968","209347","190032"
"27","197279","173968","209347","190301"
"28","190477","173968","209347","190307"
"29","187988","173968","209347","190227"
"30","191948","173968","209347","190284"
"31","187610","173968","209347","190198"
"32","189517","173968","209347","190177"
"33","185369","173968","209347","190031"
"34","204555","173968","209347","190458"
"35","184409","173968","209347","190285"
"36","188121","173968","209347","190225"
"37","188941","173968","209347","190191"
"38","180722","173968","209347","189941"
"39","194782","173968","209347","190065"
"40","190594","173968","209347","190079"
"41","183792","173968","209347","189925"
"42","194829","173968","209347","190042"
"43","191386","173968","209347","190073"
"44","203664","173968","209347","190382"
"45","184688","173968","209347","190256"
"46","193130","173968","209347","190318"
"47","200977","173968","209347","190545"
"48","193263","173968","209347","190602"
"49","186761","173968","209347","190523"
"50","184248","173968","209347","190398"
"51","189154","173968","209347","190373"
"52","187152","173968","209347","190311"
"53","198687","173968","209347","190469"
"54","185221","173968","209347","190372"
"55","183267","173968","209347","190243"
"56","183937","173968","209347","190130"
"57","206084","173968","209347","190410"
"58","183080","173968","209347","190284"
"59","191738","173968","209347","190308"
"60","195555","173968","209347","190396"
"61","182539","173968","209347","190267"
"62","186189","173968","209347","190201"
"63","189966","173968","209347","190198"
"64","194821","173968","209347","190270"
"65","191657","173968","209347","190291"
"66","172904","172904","209347","190028"
"67","174582","172904","209347","189797"
"68","199894","172904","209347","189946"
"69","190194","172904","209347","189949"
"70","187379","172904","209347","189912"
"71","184406","172904","209347","189835"
"72","181033","172904","209347","189713"
"73","194167","172904","209347","189774"
"74","198476","172904","209347","189891"
"75","182144","172904","209347","189788"
"76","197633","172904","209347","189891"
"77","176417","172904","209347","189716"
"78","194462","172904","209347","189777"
"79","184031","172904","209347","189704"
"80","194433","172904","209347","189763"
"81","192643","172904","209347","189799"
"82","187466","172904","209347","189770"
"83","193757","172904","209347","189818"
"84","193034","172904","209347","189857"
"85","192814","172904","209347","189892"
"86","197821","172904","209347","189984"
"87","206267","172904","209347","190171"
"88","199207","172904","209347","190274"
"89","191766","172904","209347","190290"
"90","190995","172904","209347","190298"
"91","188603","172904","209347","190280"
"92","185823","172904","209347","190231"
"93","194767","172904","209347","190280"
"94","194106","172904","209347","190321"
"95","194591","172904","209347","190365"
"96","192457","172904","209347","190387"
"97","195159","172904","209347","190436"
"98","188479","172904","209347","190416"
"99","194795","172904","209347","190461"
"100","187842","172904","209347","190434"
"101","194012","172904","209347","190470"
"102","190425","172904","209347","190469"
"103","188544","172904","209347","190451"
"104","184343","172904","209347","190392"
"105","183422","172904","209347","190326"
"106","192328","172904","209347","190345"
"107","182647","172904","209347","190273"
"108","190751","172904","209347","190277"
"109","192129","172904","209347","190294"
"110","188346","172904","209347","190276"
"111","196891","172904","209347","190336"
"112","182007","172904","209347","190262"
"113","192899","172904","209347","190285"
"114","204897","172904","209347","190413"
"115","196344","172904","209347","190465"
"116","195245","172904","209347","190506"
"117","187564","172904","209347","190481"
"118","187009","172904","209347","190451"
"119","178383","172904","209347","190350"
"120","193509","172904","209347","190376"
"121","200104","172904","209347","190457"
"122","198261","172904","209347","190520"
"123","194278","172904","209347","190551"
"124","191066","172904","209347","190555"
"125","193795","172904","209347","190581"
"126","192359","172904","209347","190595"
"127","182937","172904","209347","190535"
"128","199237","172904","209347","190603"
"129","201312","172904","209347","190686"
"130","188719","172904","209347","190671"
"131","190990","172904","209347","190673"
"132","194034","172904","209347","190699"
"133","189304","172904","209347","190688"
"134","182644","172904","209347","190628"
"135","185722","172904","209347","190592"
"136","188111","172904","209347","190574"
"137","179383","172904","209347","190492"
"138","189186","172904","209347","190482"
"139","189091","172904","209347","190472"
"140","193344","172904","209347","190493"
"141","192538","172904","209347","190507"
"142","197771","172904","209347","190559"
"143","190741","172904","209347","190560"
"144","183663","172904","209347","190512"
"145","188902","172904","209347","190501"
"146","194615","172904","209347","190529"
"147","194000","172904","209347","190553"
"148","193727","172904","209347","190574"
"149","180688","172904","209347","190508"
"150","161975","161975","209347","190317"
"151","182573","161975","209347","190266"
"152","174522","161975","209347","190163"
"153","181595","161975","209347","190107"
"154","191208","161975","209347","190114"
"155","190065","161975","209347","190113"
"156","199046","161975","209347","190171"
"157","197413","161975","209347","190217"
"158","189937","161975","209347","190215"
"159","204355","161975","209347","190304"
"160","189318","161975","209347","190298"
"161","190606","161975","209347","190300"
"162","191698","161975","209347","190308"
"163","190875","161975","209347","190312"
"164","198269","161975","209347","190360"
"165","191796","161975","209347","190369"
"166","187577","161975","209347","190352"
"167","196645","161975","209347","190390"
"168","203688","161975","209347","190469"
"169","195589","161975","209347","190499"
"170","194347","161975","209347","190522"
"171","184818","161975","209347","190489"
"172","192585","161975","209347","190501"
"173","192739","161975","209347","190514"
"174","179405","161975","209347","190450"
"175","186762","161975","209347","190429"
"176","185426","161975","209347","190400"
"177","182506","161975","209347","190356"
"178","194487","161975","209347","190379"
"179","197585","161975","209347","190419"
"180","199586","161975","209347","190470"
"181","183829","161975","209347","190433"
"182","197620","161975","209347","190473"
"183","180419","161975","209347","190418"
"184","196634","161975","209347","190452"
