"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","584969","2021717","978056","357540.79706983775"
"2","609676","1952854","1023798","358612.4880823379"
"3","596527","2001898","999717","354158.3052663657"
"4","588329","1978166","1010258","373756.58007764904"
"5","555576","2060893","1010836","375122.6291619459"
"6","526432","2022479","953520","378049.6909300501"
"7","561776","2022385","972123","358440.07868227107"
"8","589326","2005323","991185","352855.9154379296"
"9","614984","2019423","1011345","364258.9989382593"
"10","581949","2071684","1005825","382149.72371924494"
