"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","570469","2116025","996105","414741.9478667377"
"2","541217","2001941","970127","363860.70559765387"
"3","595657","2027963","1005492","365867.28536169394"
"4","629039","2077238","1009465","358951.79256640864"
"5","561929","2050245","1011353","384988.0810512813"
"6","598828","2023852","962404","357718.92500624125"
"7","619191","2025163","1015945","338707.2672309299"
"8","584301","2035176","988757","359441.5349078389"
"9","642772","1983116","1018780","352805.7303493309"
"10","575278","1989873","995066","369639.3926971191"
