"Iteracja","Best Result","Worst Result","Average Cost"
"1","1916012","2138573","2035439"
"2","1916012","2130307","2034038"
"3","1916012","2121919","2031953"
"4","1916012","2117432","2030858"
"5","1916012","2116795","2030252"
"6","1856827","2113373","2028950"
"7","1856827","2109901","2027487"
"8","1856827","2104842","2025557"
"9","1856827","2104132","2024757"
"10","1856827","2099471","2022147"
"11","1856827","2096299","2019915"
"12","1856827","2093857","2018725"
"13","1856827","2092022","2016796"
"14","1856827","2089485","2015168"
"15","1856827","2089081","2014202"
"16","1856827","2087056","2013209"
"17","1856827","2084429","2011751"
"18","1848542","2083055","2010418"
"19","1848542","2080746","2008585"
"20","1848542","2080152","2007653"
"21","1848542","2079709","2006875"
"22","1848542","2078636","2005735"
"23","1848542","2076983","2004217"
"24","1848542","2076291","2003102"
"25","1847072","2074886","2001852"
"26","1847072","2072503","1999403"
"27","1842354","2071257","1998129"
"28","1842354","2069025","1995890"
"29","1842354","2067796","1994359"
"30","1842354","2067140","1993193"
"31","1830491","2066568","1991846"
"32","1830491","2064666","1989480"
"33","1830491","2063323","1987553"
"34","1830491","2063178","1986617"
"35","1830491","2061855","1985232"
"36","1830491","2059852","1982961"
"37","1830491","2058685","1980383"
"38","1830491","2057924","1979427"
"39","1827672","2056844","1978027"
"40","1827672","2056073","1976268"
"41","1827672","2055010","1975566"
"42","1789985","2054705","1974099"
"43","1789985","2053931","1973181"
"44","1789985","2053037","1971527"
"45","1789985","2052960","1970910"
"46","1789985","2050925","1969151"
"47","1789985","2050440","1968444"
"48","1789985","2050019","1967856"
"49","1789985","2049105","1965494"
"50","1789985","2047867","1963410"
"51","1789985","2047541","1962446"
"52","1789985","2047181","1960565"
"53","1789985","2046725","1959310"
"54","1789985","2045413","1957285"
"55","1783536","2044726","1955443"
"56","1783536","2044177","1953797"
"57","1783536","2043194","1951677"
"58","1783536","2042287","1949697"
"59","1783536","2041785","1948650"
"60","1783536","2040351","1947189"
"61","1783536","2040172","1946141"
"62","1783536","2038849","1944754"
"63","1783536","2038479","1943496"
"64","1766124","2036453","1941213"
"65","1766124","2036254","1940613"
"66","1766124","2035614","1939843"
"67","1766124","2035408","1938690"
"68","1766124","2035081","1937349"
"69","1766124","2033926","1935478"
"70","1766124","2031887","1932911"
"71","1766124","2031537","1931183"
"72","1766124","2031021","1929732"
"73","1766124","2029855","1927866"
"74","1766124","2029855","1927866"
"75","1766124","2029059","1925950"
"76","1766124","2028014","1924802"
"77","1762823","2026871","1922805"
"78","1762823","2025452","1921310"
"79","1762823","2024893","1919378"
"80","1762823","2023205","1917429"
"81","1762823","2022770","1916700"
"82","1762823","2021324","1915895"
"83","1746628","2017861","1913460"
"84","1746628","2017482","1911908"
"85","1746628","2017130","1910048"
"86","1746628","2015625","1907299"
"87","1746628","2014406","1904842"
"88","1746628","2013474","1902807"
"89","1746628","2012784","1902079"
"90","1746628","2011719","1899802"
"91","1746628","2011347","1897859"
"92","1745786","2009915","1895430"
"93","1745786","2007155","1892280"
"94","1727382","2006271","1890623"
"95","1727382","2005828","1889010"
"96","1727382","2005375","1888225"
"97","1727382","2003818","1886599"
"98","1727382","2001777","1883797"
"99","1727382","2000971","1882576"
"100","1727382","1999796","1880926"
"101","1727382","1999402","1879293"
"102","1727382","1998634","1877291"
"103","1727382","1995933","1873580"
"104","1727382","1993957","1870731"
"105","1727382","1992372","1868684"
"106","1727382","1991414","1866313"
"107","1723230","1990508","1863478"
"108","1723230","1987293","1861449"
"109","1723230","1985470","1858790"
"110","1719635","1983194","1855961"
"111","1705617","1981991","1853895"
"112","1705617","1981244","1852693"
"113","1705617","1979873","1850672"
"114","1705617","1979311","1848677"
"115","1705617","1976676","1846691"
"116","1705617","1976506","1845907"
"117","1705617","1974860","1843892"
"118","1705617","1974074","1841906"
"119","1705617","1973011","1840320"
"120","1705617","1971050","1838383"
"121","1705617","1969253","1836014"
"122","1705617","1968072","1834815"
"123","1705617","1965799","1832100"
"124","1705617","1962561","1829425"
"125","1705617","1960489","1826662"
"126","1705617","1958976","1825071"
"127","1701949","1955607","1823488"
"128","1689103","1953061","1822232"
"129","1689103","1950152","1819904"
"130","1689103","1948041","1817982"
"131","1689103","1946166","1816387"
"132","1681940","1939574","1812928"
"133","1681940","1939118","1811413"
"134","1681940","1937259","1810285"
"135","1681488","1933169","1807926"
"136","1681488","1931282","1805690"
"137","1672813","1929123","1801942"
"138","1672813","1928733","1800721"
"139","1672813","1924101","1798195"
"140","1672813","1922290","1797074"
"141","1672813","1921371","1795957"
"142","1672813","1919219","1793773"
"143","1667830","1917068","1791901"
"144","1667830","1916012","1791131"
"145","1667830","1911725","1789003"
"146","1667830","1907542","1786227"
"147","1667672","1903959","1783848"
"148","1655281","1901488","1782354"
"149","1655281","1898238","1779749"
"150","1655281","1897073","1779092"
"151","1655281","1894393","1777009"
"152","1655281","1892547","1775930"
"153","1655281","1891263","1774219"
"154","1651953","1888572","1772538"
"155","1651953","1884800","1770606"
"156","1642194","1881468","1767790"
"157","1642194","1877832","1765436"
"158","1642194","1874311","1763528"
"159","1641788","1873017","1761561"
"160","1641788","1868363","1759629"
"161","1641788","1865014","1757315"
"162","1641788","1862499","1755436"
