"Iteracja","Current","Best","Worst","Average"
"1","43348","43348","43348","43348"
"2","46815","43348","46815","45081"
"3","46811","43348","46815","45658"
"4","44703","43348","46815","45419"
"5","44733","43348","46815","45282"
"6","47487","43348","47487","45649"
"7","47522","43348","47522","45917"
"8","47752","43348","47752","46146"
"9","47985","43348","47985","46350"
"10","46588","43348","47985","46374"
"11","44471","43348","47985","46201"
"12","44441","43348","47985","46054"
"13","45091","43348","47985","45980"
"14","45589","43348","47985","45952"
"15","43966","43348","47985","45820"
"16","44475","43348","47985","45736"
"17","46408","43348","47985","45775"
"18","43658","43348","47985","45657"
"19","43575","43348","47985","45548"
"20","42960","42960","47985","45418"
"21","42971","42960","47985","45302"
"22","43141","42960","47985","45204"
"23","43142","42960","47985","45114"
"24","43101","42960","47985","45030"
"25","43137","42960","47985","44954"
"26","43057","42960","47985","44881"
"27","43187","42960","47985","44819"
"28","43238","42960","47985","44762"
"29","43345","42960","47985","44713"
"30","43423","42960","47985","44670"
"31","43280","42960","47985","44625"
"32","43101","42960","47985","44578"
"33","43220","42960","47985","44537"
"34","43083","42960","47985","44494"
"35","43354","42960","47985","44461"
"36","43336","42960","47985","44430"
"37","43314","42960","47985","44400"
"38","43423","42960","47985","44374"
"39","43466","42960","47985","44351"
"40","44529","42960","47985","44355"
"41","44462","42960","47985","44358"
"42","44453","42960","47985","44360"
"43","44461","42960","47985","44362"
"44","44476","42960","47985","44365"
"45","44492","42960","47985","44368"
"46","44473","42960","47985","44370"
"47","44424","42960","47985","44371"
"48","44496","42960","47985","44374"
"49","44501","42960","47985","44376"
"50","43982","42960","47985","44368"
"51","44639","42960","47985","44374"
"52","44208","42960","47985","44371"
"53","44559","42960","47985","44374"
"54","44598","42960","47985","44378"
"55","44470","42960","47985","44380"
"56","44455","42960","47985","44381"
"57","45068","42960","47985","44393"
"58","44550","42960","47985","44396"
"59","45002","42960","47985","44406"
"60","45060","42960","47985","44417"
"61","45070","42960","47985","44428"
"62","45581","42960","47985","44446"
"63","45578","42960","47985","44464"
"64","45601","42960","47985","44482"
"65","45106","42960","47985","44492"
"66","45405","42960","47985","44506"
"67","45385","42960","47985","44519"
"68","45394","42960","47985","44531"
"69","45361","42960","47985","44544"
"70","45791","42960","47985","44561"
"71","45768","42960","47985","44578"
"72","45986","42960","47985","44598"
"73","45272","42960","47985","44607"
"74","43114","42960","47985","44587"
"75","43301","42960","47985","44570"
"76","43385","42960","47985","44554"
"77","43289","42960","47985","44538"
"78","43390","42960","47985","44523"
"79","43379","42960","47985","44509"
"80","43414","42960","47985","44495"
"81","43355","42960","47985","44481"
"82","43377","42960","47985","44467"
"83","43444","42960","47985","44455"
"84","43468","42960","47985","44443"
"85","43280","42960","47985","44429"
"86","43475","42960","47985","44418"
"87","43504","42960","47985","44408"
"88","43209","42960","47985","44394"
"89","43365","42960","47985","44383"
"90","43569","42960","47985","44374"
"91","43339","42960","47985","44362"
"92","43678","42960","47985","44355"
"93","44870","42960","47985","44360"
"94","43722","42960","47985","44354"
"95","43726","42960","47985","44347"
"96","43491","42960","47985","44338"
"97","44925","42960","47985","44344"
"98","43838","42960","47985","44339"
"99","44808","42960","47985","44344"
"100","43754","42960","47985","44338"
"101","43748","42960","47985","44332"
"102","43822","42960","47985","44327"
"103","45487","42960","47985","44338"
"104","45522","42960","47985","44350"
"105","45673","42960","47985","44362"
"106","44843","42960","47985","44367"
"107","47023","42960","47985","44391"
"108","46973","42960","47985","44415"
"109","46986","42960","47985","44439"
"110","46969","42960","47985","44462"
"111","46991","42960","47985","44485"
"112","47035","42960","47985","44507"
"113","47016","42960","47985","44530"
"114","46999","42960","47985","44551"
"115","47052","42960","47985","44573"
"116","47003","42960","47985","44594"
"117","47046","42960","47985","44615"
"118","46999","42960","47985","44635"
"119","47020","42960","47985","44655"
"120","47065","42960","47985","44675"
"121","44214","42960","47985","44671"
"122","47029","42960","47985","44691"
"123","47082","42960","47985","44710"
"124","47033","42960","47985","44729"
"125","44215","42960","47985","44725"
