"Iteracja","Current","Best","Worst","Average"
"1","2074953","2074953","2074953","2074953"
"2","2062332","2062332","2074953","2068642"
"3","1980656","1980656","2074953","2039313"
"4","2053055","1980656","2074953","2042749"
"5","2053240","1980656","2074953","2044847"
"6","2064348","1980656","2074953","2048097"
"7","2082278","1980656","2082278","2052980"
"8","2124603","1980656","2124603","2061933"
"9","2065217","1980656","2124603","2062298"
"10","2068393","1980656","2124603","2062907"
"11","2040959","1980656","2124603","2060912"
"12","2068953","1980656","2124603","2061582"
"13","2018282","1980656","2124603","2058251"
"14","2104423","1980656","2124603","2061549"
"15","2081111","1980656","2124603","2062853"
"16","2037565","1980656","2124603","2061273"
"17","2054762","1980656","2124603","2060890"
"18","2032612","1980656","2124603","2059319"
"19","1959938","1959938","2124603","2054088"
"20","1944773","1944773","2124603","2048622"
"21","2001028","1944773","2124603","2046356"
"22","2018766","1944773","2124603","2045102"
"23","2085781","1944773","2124603","2046870"
"24","1994150","1944773","2124603","2044674"
"25","2009397","1944773","2124603","2043263"
"26","2115876","1944773","2124603","2046055"
"27","1979455","1944773","2124603","2043589"
"28","2003276","1944773","2124603","2042149"
"29","2015127","1944773","2124603","2041217"
"30","2049875","1944773","2124603","2041506"
"31","2031891","1944773","2124603","2041195"
"32","2045625","1944773","2124603","2041334"
"33","2169785","1944773","2169785","2045226"
"34","2034982","1944773","2169785","2044925"
"35","2049385","1944773","2169785","2045052"
"36","2079795","1944773","2169785","2046017"
"37","2022825","1944773","2169785","2045391"
"38","2098060","1944773","2169785","2046777"
"39","2060665","1944773","2169785","2047133"
"40","2108487","1944773","2169785","2048667"
"41","2022636","1944773","2169785","2048032"
"42","2073040","1944773","2169785","2048627"
"43","2066179","1944773","2169785","2049035"
"44","2106255","1944773","2169785","2050336"
"45","2073318","1944773","2169785","2050846"
"46","2111218","1944773","2169785","2052159"
"47","2051527","1944773","2169785","2052145"
"48","2099875","1944773","2169785","2053140"
"49","2014908","1944773","2169785","2052360"
"50","1923336","1923336","2169785","2049779"
"51","2122473","1923336","2169785","2051204"
"52","2051247","1923336","2169785","2051205"
"53","2016543","1923336","2169785","2050551"
"54","1917900","1917900","2169785","2048095"
"55","2130211","1917900","2169785","2049588"
"56","2104271","1917900","2169785","2050564"
"57","2048664","1917900","2169785","2050531"
"58","2039529","1917900","2169785","2050341"
"59","2039761","1917900","2169785","2050162"
"60","2050945","1917900","2169785","2050175"
"61","2024659","1917900","2169785","2049757"
"62","1941415","1917900","2169785","2048009"
"63","2075099","1917900","2169785","2048439"
"64","2017184","1917900","2169785","2047951"
"65","1993948","1917900","2169785","2047120"
"66","2020795","1917900","2169785","2046721"
"67","2051417","1917900","2169785","2046791"
"68","2040213","1917900","2169785","2046694"
"69","2005379","1917900","2169785","2046096"
"70","2076380","1917900","2169785","2046528"
"71","2020423","1917900","2169785","2046161"
"72","2076930","1917900","2169785","2046588"
"73","2007938","1917900","2169785","2046058"
"74","2034123","1917900","2169785","2045897"
"75","2027310","1917900","2169785","2045649"
"76","2001294","1917900","2169785","2045066"
"77","1989562","1917900","2169785","2044345"
"78","2082917","1917900","2169785","2044839"
"79","2068944","1917900","2169785","2045144"
"80","2026170","1917900","2169785","2044907"
"81","2055059","1917900","2169785","2045033"
"82","2068604","1917900","2169785","2045320"
"83","1997400","1917900","2169785","2044743"
"84","2066462","1917900","2169785","2045001"
"85","2055712","1917900","2169785","2045127"
"86","2005176","1917900","2169785","2044663"
"87","2041636","1917900","2169785","2044628"
"88","2040576","1917900","2169785","2044582"
"89","2055975","1917900","2169785","2044710"
"90","2052001","1917900","2169785","2044791"
"91","2004942","1917900","2169785","2044353"
"92","2096355","1917900","2169785","2044918"
"93","2092106","1917900","2169785","2045426"
"94","1974756","1917900","2169785","2044674"
"95","1985053","1917900","2169785","2044046"
"96","2087643","1917900","2169785","2044500"
"97","2045073","1917900","2169785","2044506"
"98","2062592","1917900","2169785","2044691"
"99","2021218","1917900","2169785","2044454"
"100","1978250","1917900","2169785","2043792"
"101","2077889","1917900","2169785","2044129"
"102","2036498","1917900","2169785","2044054"
"103","2044851","1917900","2169785","2044062"
"104","2013153","1917900","2169785","2043765"
"105","1941689","1917900","2169785","2042793"
"106","1975372","1917900","2169785","2042157"
"107","2063444","1917900","2169785","2042356"
"108","2044295","1917900","2169785","2042374"
"109","1969290","1917900","2169785","2041703"
"110","2071680","1917900","2169785","2041976"
"111","2034209","1917900","2169785","2041906"
"112","2056269","1917900","2169785","2042034"
"113","2073085","1917900","2169785","2042309"
"114","2037025","1917900","2169785","2042262"
"115","2042628","1917900","2169785","2042265"
"116","2025391","1917900","2169785","2042120"
"117","2026901","1917900","2169785","2041990"
"118","2053504","1917900","2169785","2042087"
"119","2000156","1917900","2169785","2041735"
"120","2032604","1917900","2169785","2041659"
"121","2052653","1917900","2169785","2041750"
"122","2032452","1917900","2169785","2041674"
"123","2042592","1917900","2169785","2041681"
"124","1977851","1917900","2169785","2041166"
"125","2068088","1917900","2169785","2041382"
"126","2057497","1917900","2169785","2041510"
"127","2063875","1917900","2169785","2041686"
"128","2061659","1917900","2169785","2041842"
"129","2086225","1917900","2169785","2042186"
"130","2000031","1917900","2169785","2041862"
"131","2039367","1917900","2169785","2041842"
"132","2034686","1917900","2169785","2041788"
"133","2014982","1917900","2169785","2041587"
"134","2026672","1917900","2169785","2041475"
"135","2049944","1917900","2169785","2041538"
"136","2073401","1917900","2169785","2041772"
"137","2096356","1917900","2169785","2042171"
"138","2028358","1917900","2169785","2042071"
"139","2009468","1917900","2169785","2041836"
"140","1993154","1917900","2169785","2041488"
"141","1967489","1917900","2169785","2040964"
"142","1998987","1917900","2169785","2040668"
"143","2051705","1917900","2169785","2040745"
"144","2049265","1917900","2169785","2040804"
"145","2077030","1917900","2169785","2041054"
"146","1958001","1917900","2169785","2040485"
"147","2085136","1917900","2169785","2040789"
"148","2052302","1917900","2169785","2040867"
"149","2074538","1917900","2169785","2041093"
"150","2117914","1917900","2169785","2041605"
"151","2118887","1917900","2169785","2042117"
"152","2088953","1917900","2169785","2042425"
"153","2044539","1917900","2169785","2042439"
"154","2070365","1917900","2169785","2042620"
"155","1982604","1917900","2169785","2042233"
"156","2005574","1917900","2169785","2041998"
"157","2064449","1917900","2169785","2042141"
"158","2011084","1917900","2169785","2041944"
"159","1995144","1917900","2169785","2041650"
"160","1946789","1917900","2169785","2041057"
"161","2031902","1917900","2169785","2041000"
"162","1984250","1917900","2169785","2040650"
"163","2060013","1917900","2169785","2040769"
"164","2057584","1917900","2169785","2040871"
"165","2003208","1917900","2169785","2040643"
"166","1961775","1917900","2169785","2040168"
"167","2155746","1917900","2169785","2040860"
"168","2122886","1917900","2169785","2041348"
"169","1986792","1917900","2169785","2041025"
"170","1993469","1917900","2169785","2040746"
"171","2039551","1917900","2169785","2040739"
"172","2051637","1917900","2169785","2040802"
"173","2107139","1917900","2169785","2041185"
"174","2012893","1917900","2169785","2041023"
"175","2010942","1917900","2169785","2040851"
"176","2069711","1917900","2169785","2041015"
"177","2107519","1917900","2169785","2041391"
"178","2036302","1917900","2169785","2041362"
"179","1984756","1917900","2169785","2041046"
"180","2001041","1917900","2169785","2040824"
"181","2079482","1917900","2169785","2041037"
"182","2057580","1917900","2169785","2041128"
"183","2039066","1917900","2169785","2041117"
"184","2041316","1917900","2169785","2041118"
"185","1923939","1917900","2169785","2040484"
"186","2011559","1917900","2169785","2040329"
"187","2086648","1917900","2169785","2040577"
"188","2041719","1917900","2169785","2040583"
"189","2040806","1917900","2169785","2040584"
"190","2032446","1917900","2169785","2040541"
"191","2063124","1917900","2169785","2040659"
"192","2023652","1917900","2169785","2040571"
"193","2069758","1917900","2169785","2040722"
"194","2001327","1917900","2169785","2040519"
"195","2029386","1917900","2169785","2040462"
"196","2138567","1917900","2169785","2040962"
"197","2006455","1917900","2169785","2040787"
"198","1990747","1917900","2169785","2040534"
"199","1986600","1917900","2169785","2040263"
"200","2117563","1917900","2169785","2040650"
"201","1943095","1917900","2169785","2040164"
"202","2024994","1917900","2169785","2040089"
"203","2137466","1917900","2169785","2040569"
"204","1995056","1917900","2169785","2040346"
"205","2029517","1917900","2169785","2040293"
"206","2002557","1917900","2169785","2040110"
"207","2023416","1917900","2169785","2040029"
"208","1977266","1917900","2169785","2039728"
"209","2056826","1917900","2169785","2039809"
"210","1978039","1917900","2169785","2039515"
"211","2016353","1917900","2169785","2039405"
"212","2014177","1917900","2169785","2039286"
"213","2097814","1917900","2169785","2039561"
"214","1940795","1917900","2169785","2039100"
"215","1973291","1917900","2169785","2038794"
"216","2105721","1917900","2169785","2039103"
"217","2083007","1917900","2169785","2039306"
"218","2030113","1917900","2169785","2039264"
"219","1966515","1917900","2169785","2038931"
"220","2023806","1917900","2169785","2038863"
"221","2063237","1917900","2169785","2038973"
"222","2038536","1917900","2169785","2038971"
"223","1961146","1917900","2169785","2038622"
"224","2034179","1917900","2169785","2038602"
"225","2005701","1917900","2169785","2038456"
"226","1950026","1917900","2169785","2038065"
"227","2000751","1917900","2169785","2037900"
"228","2071702","1917900","2169785","2038048"
"229","1965348","1917900","2169785","2037731"
"230","2023134","1917900","2169785","2037668"
"231","1991548","1917900","2169785","2037468"
"232","2102030","1917900","2169785","2037746"
"233","2055934","1917900","2169785","2037824"
"234","2064648","1917900","2169785","2037939"
"235","2021095","1917900","2169785","2037867"
"236","2026009","1917900","2169785","2037817"
"237","2104980","1917900","2169785","2038100"
"238","2074049","1917900","2169785","2038251"
"239","2091128","1917900","2169785","2038473"
"240","1976457","1917900","2169785","2038214"
"241","2043178","1917900","2169785","2038235"
"242","2031068","1917900","2169785","2038205"
"243","2128530","1917900","2169785","2038577"
"244","2154266","1917900","2169785","2039051"
"245","2101569","1917900","2169785","2039306"
"246","2040038","1917900","2169785","2039309"
"247","2040996","1917900","2169785","2039316"
"248","2162669","1917900","2169785","2039813"
"249","2026894","1917900","2169785","2039761"
"250","2034579","1917900","2169785","2039741"
"251","2069520","1917900","2169785","2039859"
"252","2028078","1917900","2169785","2039813"
"253","2063296","1917900","2169785","2039905"
"254","1995718","1917900","2169785","2039731"
"255","1975380","1917900","2169785","2039479"
"256","2133209","1917900","2169785","2039845"
"257","2000419","1917900","2169785","2039692"
"258","2102527","1917900","2169785","2039935"
"259","1969726","1917900","2169785","2039664"
"260","2060585","1917900","2169785","2039745"
"261","2094927","1917900","2169785","2039956"
"262","2096887","1917900","2169785","2040173"
"263","2037011","1917900","2169785","2040161"
"264","2027541","1917900","2169785","2040114"
"265","1947806","1917900","2169785","2039765"
"266","1990769","1917900","2169785","2039581"
"267","2067896","1917900","2169785","2039687"
"268","2030454","1917900","2169785","2039653"
"269","2054654","1917900","2169785","2039708"
"270","2121508","1917900","2169785","2040011"
"271","2106716","1917900","2169785","2040258"
"272","1992684","1917900","2169785","2040083"
"273","2058506","1917900","2169785","2040150"
"274","2053989","1917900","2169785","2040201"
"275","2121063","1917900","2169785","2040495"
"276","2064958","1917900","2169785","2040583"
"277","2055546","1917900","2169785","2040637"
"278","1964520","1917900","2169785","2040364"
"279","2000911","1917900","2169785","2040222"
"280","2024463","1917900","2169785","2040166"
"281","2078818","1917900","2169785","2040303"
"282","2076398","1917900","2169785","2040431"
"283","2030702","1917900","2169785","2040397"
"284","2014045","1917900","2169785","2040304"
"285","2057708","1917900","2169785","2040365"
"286","2115683","1917900","2169785","2040629"
"287","2057005","1917900","2169785","2040686"
"288","2047544","1917900","2169785","2040710"
"289","1967148","1917900","2169785","2040455"
"290","2009089","1917900","2169785","2040347"
"291","1993058","1917900","2169785","2040184"
"292","2045857","1917900","2169785","2040204"
"293","1997881","1917900","2169785","2040059"
"294","2012161","1917900","2169785","2039964"
"295","2059788","1917900","2169785","2040032"
"296","1997399","1917900","2169785","2039888"
"297","2039913","1917900","2169785","2039888"
"298","2030649","1917900","2169785","2039857"
"299","1952624","1917900","2169785","2039565"
"300","2054780","1917900","2169785","2039616"
"301","2045956","1917900","2169785","2039637"
"302","2045088","1917900","2169785","2039655"
"303","2031812","1917900","2169785","2039629"
"304","2020042","1917900","2169785","2039564"
"305","2170644","1917900","2170644","2039994"
"306","2015290","1917900","2170644","2039913"
"307","2062506","1917900","2170644","2039987"
"308","2046073","1917900","2170644","2040007"
"309","1999952","1917900","2170644","2039877"
"310","2060093","1917900","2170644","2039942"
"311","2018107","1917900","2170644","2039872"
"312","2029523","1917900","2170644","2039839"
"313","2049725","1917900","2170644","2039871"
"314","2091935","1917900","2170644","2040036"
"315","2034836","1917900","2170644","2040020"
"316","2024277","1917900","2170644","2039970"
"317","2002076","1917900","2170644","2039850"
"318","2026645","1917900","2170644","2039809"
"319","2049548","1917900","2170644","2039839"
"320","2008794","1917900","2170644","2039742"
"321","2047035","1917900","2170644","2039765"
"322","1999695","1917900","2170644","2039641"
"323","2114545","1917900","2170644","2039873"
"324","2013099","1917900","2170644","2039790"
"325","2145117","1917900","2170644","2040114"
"326","2060026","1917900","2170644","2040175"
"327","1998749","1917900","2170644","2040048"
"328","2061930","1917900","2170644","2040115"
"329","2075284","1917900","2170644","2040222"
"330","2036849","1917900","2170644","2040212"
"331","1966303","1917900","2170644","2039989"
"332","1962372","1917900","2170644","2039755"
"333","2001310","1917900","2170644","2039639"
"334","2080024","1917900","2170644","2039760"
"335","2090957","1917900","2170644","2039913"
"336","2016996","1917900","2170644","2039845"
"337","1995858","1917900","2170644","2039714"
"338","2037136","1917900","2170644","2039707"
"339","1954864","1917900","2170644","2039456"
"340","2016934","1917900","2170644","2039390"
"341","2034499","1917900","2170644","2039376"
"342","1975631","1917900","2170644","2039189"
"343","1973926","1917900","2170644","2038999"
"344","1989531","1917900","2170644","2038855"
"345","2121117","1917900","2170644","2039094"
"346","2008947","1917900","2170644","2039007"
"347","2001186","1917900","2170644","2038898"
"348","2137007","1917900","2170644","2039180"
"349","2046326","1917900","2170644","2039200"
"350","2075817","1917900","2170644","2039305"
"351","2090630","1917900","2170644","2039451"
"352","2091769","1917900","2170644","2039600"
"353","1965303","1917900","2170644","2039389"
"354","2033295","1917900","2170644","2039372"
"355","2037168","1917900","2170644","2039366"
"356","2052045","1917900","2170644","2039401"
