"Iteracja","Current","Best","Worst","Average"
"1","2010754","2010754","2010754","2010754"
"2","1993355","1993355","2010754","2002054"
"3","2040814","1993355","2040814","2014974"
"4","2051480","1993355","2051480","2024100"
"5","2082881","1993355","2082881","2035856"
"6","2037054","1993355","2082881","2036056"
"7","2078534","1993355","2082881","2042124"
"8","2048087","1993355","2082881","2042869"
"9","2047369","1993355","2082881","2043369"
"10","2176143","1993355","2176143","2056647"
"11","2124057","1993355","2176143","2062775"
"12","2054917","1993355","2176143","2062120"
"13","2047756","1993355","2176143","2061015"
"14","2044327","1993355","2176143","2059823"
"15","2079687","1993355","2176143","2061147"
"16","2056803","1993355","2176143","2060876"
"17","1971209","1971209","2176143","2055601"
"18","2109746","1971209","2176143","2058609"
"19","2066388","1971209","2176143","2059019"
"20","2065788","1971209","2176143","2059357"
"21","1990693","1971209","2176143","2056087"
"22","2047108","1971209","2176143","2055679"
"23","2044198","1971209","2176143","2055180"
"24","2084663","1971209","2176143","2056408"
"25","2080862","1971209","2176143","2057386"
"26","2085016","1971209","2176143","2058449"
"27","2046022","1971209","2176143","2057989"
"28","2040806","1971209","2176143","2057375"
"29","2071057","1971209","2176143","2057847"
"30","2009419","1971209","2176143","2056233"
"31","2013215","1971209","2176143","2054845"
"32","2055073","1971209","2176143","2054852"
"33","1994116","1971209","2176143","2053012"
"34","2111200","1971209","2176143","2054723"
"35","2079933","1971209","2176143","2055443"
"36","2014956","1971209","2176143","2054319"
"37","2091015","1971209","2176143","2055310"
"38","2063947","1971209","2176143","2055538"
"39","1979969","1971209","2176143","2053600"
"40","1971536","1971209","2176143","2051548"
"41","1987546","1971209","2176143","2049987"
"42","2010483","1971209","2176143","2049047"
"43","2044598","1971209","2176143","2048943"
"44","1978337","1971209","2176143","2047339"
"45","2054920","1971209","2176143","2047507"
"46","2085838","1971209","2176143","2048340"
"47","2056528","1971209","2176143","2048514"
"48","2039222","1971209","2176143","2048321"
"49","2025198","1971209","2176143","2047849"
"50","2050502","1971209","2176143","2047902"
"51","1955523","1955523","2176143","2046091"
"52","1904150","1904150","2176143","2043361"
"53","1978871","1904150","2176143","2042144"
"54","2038296","1904150","2176143","2042073"
"55","2089043","1904150","2176143","2042927"
"56","1974966","1904150","2176143","2041713"
"57","2042221","1904150","2176143","2041722"
"58","2067186","1904150","2176143","2042161"
"59","2012218","1904150","2176143","2041654"
"60","2043876","1904150","2176143","2041691"
"61","2139886","1904150","2176143","2043301"
"62","1965934","1904150","2176143","2042053"
"63","2047917","1904150","2176143","2042146"
"64","2107192","1904150","2176143","2043162"
"65","2060454","1904150","2176143","2043428"
"66","1998792","1904150","2176143","2042752"
"67","2048485","1904150","2176143","2042837"
