"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","340222","1693919","615833","298740.42940661905"
"2","334187","1685404","598231","277227.94197708706"
"3","352674","1809649","612393","307868.20806981856"
"4","315192","1772818","599294","309414.29682521644"
"5","298988","1726312","579840","303324.8940822533"
"6","338952","1648003","598835","270982.3254634846"
"7","330137","1754646","641235","300196.87081884756"
"8","335421","1719466","631880","296846.91297479917"
"9","332689","1622811","573821","260374.1249481451"
"10","377104","1671138","619782","288139.12732893275"
