"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","352481","1645375","633136","287168.9518979636"
"2","381776","1730349","624716","274445.9273556524"
"3","336431","1694021","586609","296322.8626401082"
"4","328508","1684315","602374","303050.02361570596"
"5","362790","1717164","624534","284328.5789692739"
"6","335436","1766060","606518","306957.87343008636"
"7","336944","1686411","591285","292073.37849973526"
"8","339697","1722036","609537","296331.3824227102"
"9","347851","1727057","613716","283872.9690173385"
"10","304041","1571911","591603","282031.71755028766"
