"Iteracja","Current","Best","Worst","Average"
"1","94672","94672","94672","94672"
"2","95561","94672","95561","95116"
"3","95561","94672","95561","95264"
"4","95561","94672","95561","95338"
"5","93627","93627","95561","94996"
"6","93627","93627","95561","94768"
"7","95129","93627","95561","94819"
"8","93705","93627","95561","94680"
"9","93192","93192","95561","94515"
"10","95106","93192","95561","94574"
"11","94249","93192","95561","94544"
"12","94408","93192","95561","94533"
"13","93531","93192","95561","94456"
"14","97601","93192","97601","94680"
"15","94230","93192","97601","94650"
"16","94178","93192","97601","94621"
"17","94886","93192","97601","94636"
"18","95109","93192","97601","94662"
"19","94453","93192","97601","94651"
"20","93737","93192","97601","94606"
"21","96495","93192","97601","94696"
"22","97856","93192","97856","94839"
"23","97991","93192","97991","94976"
"24","98127","93192","98127","95108"
"25","98183","93192","98183","95231"
"26","98323","93192","98323","95349"
"27","98391","93192","98391","95462"
"28","98748","93192","98748","95579"
"29","98459","93192","98748","95679"
"30","99015","93192","99015","95790"
"31","97811","93192","99015","95855"
"32","97830","93192","99015","95917"
"33","99326","93192","99326","96020"
"34","99306","93192","99326","96117"
"35","98580","93192","99326","96187"
"36","98186","93192","99326","96243"
"37","96930","93192","99326","96261"
"38","97978","93192","99326","96306"
"39","97897","93192","99326","96347"
"40","98875","93192","99326","96410"
"41","100082","93192","100082","96500"
"42","99287","93192","100082","96566"
"43","94748","93192","100082","96524"
"44","97120","93192","100082","96537"
"45","98835","93192","100082","96588"
"46","96906","93192","100082","96595"
"47","97038","93192","100082","96605"
"48","96675","93192","100082","96606"
"49","96508","93192","100082","96604"
"50","94541","93192","100082","96563"
"51","94517","93192","100082","96523"
"52","94518","93192","100082","96484"
"53","94520","93192","100082","96447"
"54","94521","93192","100082","96411"
"55","94523","93192","100082","96377"
"56","94525","93192","100082","96344"
"57","93441","93192","100082","96293"
"58","93718","93192","100082","96249"
"59","93843","93192","100082","96208"
"60","93973","93192","100082","96171"
"61","94106","93192","100082","96137"
"62","94242","93192","100082","96106"
"63","93379","93192","100082","96063"
"64","94917","93192","100082","96045"
"65","93240","93192","100082","96002"
"66","92540","92540","100082","95949"
"67","94744","92540","100082","95931"
"68","93536","92540","100082","95896"
"69","94956","92540","100082","95883"
"70","94957","92540","100082","95869"
"71","95094","92540","100082","95858"
"72","94467","92540","100082","95839"
"73","94491","92540","100082","95821"
"74","94498","92540","100082","95803"
"75","94615","92540","100082","95787"
"76","94733","92540","100082","95773"
"77","94853","92540","100082","95761"
"78","94975","92540","100082","95751"
"79","95097","92540","100082","95743"
"80","94272","92540","100082","95724"
"81","94126","92540","100082","95705"
"82","94054","92540","100082","95684"
"83","93984","92540","100082","95664"
"84","93916","92540","100082","95643"
"85","93849","92540","100082","95622"
"86","93849","92540","100082","95601"
"87","98404","92540","100082","95634"
"88","98114","92540","100082","95662"
"89","98159","92540","100082","95690"
"90","98070","92540","100082","95716"
"91","98027","92540","100082","95742"
"92","97985","92540","100082","95766"
"93","98032","92540","100082","95790"
"94","98104","92540","100082","95815"
"95","98220","92540","100082","95840"
"96","98175","92540","100082","95865"
"97","98131","92540","100082","95888"
"98","98088","92540","100082","95910"
"99","98046","92540","100082","95932"
"100","98004","92540","100082","95953"
"101","98052","92540","100082","95973"
"102","98124","92540","100082","95995"
"103","98837","92540","100082","96022"
"104","98590","92540","100082","96047"
"105","98613","92540","100082","96071"
"106","98568","92540","100082","96095"
"107","98546","92540","100082","96118"
"108","98525","92540","100082","96140"
"109","98592","92540","100082","96162"
"110","98684","92540","100082","96185"
