"Iteracja","Current","Best","Worst","Average"
"1","1661330","1661330","1661330","1661330"
"2","1642281","1642281","1661330","1651805"
"3","1731526","1642281","1731526","1678379"
"4","1765941","1642281","1765941","1700269"
"5","1628151","1628151","1765941","1685845"
"6","1639459","1628151","1765941","1678114"
"7","1654782","1628151","1765941","1674781"
"8","1648137","1628151","1765941","1671450"
"9","1717594","1628151","1765941","1676577"
"10","1730886","1628151","1765941","1682008"
"11","1722458","1628151","1765941","1685685"
"12","1714645","1628151","1765941","1688099"
"13","1652236","1628151","1765941","1685340"
"14","1680871","1628151","1765941","1685021"
"15","1681244","1628151","1765941","1684769"
"16","1774086","1628151","1774086","1690351"
"17","1680842","1628151","1774086","1689792"
"18","1701111","1628151","1774086","1690421"
"19","1641036","1628151","1774086","1687821"
"20","1668158","1628151","1774086","1686838"
"21","1622159","1622159","1774086","1683758"
"22","1711751","1622159","1774086","1685031"
"23","1705015","1622159","1774086","1685899"
"24","1679569","1622159","1774086","1685636"
"25","1687846","1622159","1774086","1685724"
"26","1624412","1622159","1774086","1683366"
"27","1695324","1622159","1774086","1683809"
"28","1714782","1622159","1774086","1684915"
"29","1728589","1622159","1774086","1686421"
"30","1711863","1622159","1774086","1687269"
"31","1590795","1590795","1774086","1684157"
"32","1684232","1590795","1774086","1684159"
"33","1691586","1590795","1774086","1684384"
"34","1626669","1590795","1774086","1682687"
"35","1661544","1590795","1774086","1682083"
"36","1668279","1590795","1774086","1681699"
"37","1714124","1590795","1774086","1682576"
"38","1605679","1590795","1774086","1680552"
"39","1620745","1590795","1774086","1679018"
"40","1640953","1590795","1774086","1678067"
"41","1712046","1590795","1774086","1678896"
"42","1713397","1590795","1774086","1679717"
"43","1755224","1590795","1774086","1681473"
"44","1705625","1590795","1774086","1682022"
"45","1647432","1590795","1774086","1681253"
"46","1629851","1590795","1774086","1680136"
"47","1764739","1590795","1774086","1681936"
"48","1770520","1590795","1774086","1683781"
"49","1765138","1590795","1774086","1685442"
"50","1649482","1590795","1774086","1684722"
"51","1684485","1590795","1774086","1684718"
"52","1613556","1590795","1774086","1683349"
"53","1745122","1590795","1774086","1684515"
"54","1727705","1590795","1774086","1685315"
"55","1591773","1590795","1774086","1683614"
"56","1770951","1590795","1774086","1685173"
"57","1643800","1590795","1774086","1684448"
"58","1691486","1590795","1774086","1684569"
"59","1645694","1590795","1774086","1683910"
"60","1681943","1590795","1774086","1683877"
"61","1731181","1590795","1774086","1684653"
"62","1736140","1590795","1774086","1685483"
"63","1666637","1590795","1774086","1685184"
"64","1741860","1590795","1774086","1686069"
"65","1743022","1590795","1774086","1686946"
"66","1629242","1590795","1774086","1686071"
"67","1695564","1590795","1774086","1686213"
"68","1697373","1590795","1774086","1686377"
"69","1763852","1590795","1774086","1687500"
"70","1671007","1590795","1774086","1687264"
"71","1651862","1590795","1774086","1686766"
"72","1623469","1590795","1774086","1685887"
"73","1730115","1590795","1774086","1686492"
"74","1656701","1590795","1774086","1686090"
"75","1674558","1590795","1774086","1685936"
"76","1629217","1590795","1774086","1685190"
"77","1771378","1590795","1774086","1686309"
"78","1711208","1590795","1774086","1686628"
"79","1693185","1590795","1774086","1686711"
"80","1692574","1590795","1774086","1686785"
"81","1688767","1590795","1774086","1686809"
"82","1696666","1590795","1774086","1686929"
"83","1683139","1590795","1774086","1686884"
"84","1624985","1590795","1774086","1686147"
"85","1554518","1554518","1774086","1684598"
"86","1664948","1554518","1774086","1684370"
"87","1686789","1554518","1774086","1684397"
"88","1699796","1554518","1774086","1684572"
"89","1745230","1554518","1774086","1685254"
"90","1757938","1554518","1774086","1686062"
"91","1715766","1554518","1774086","1686388"
"92","1611492","1554518","1774086","1685574"
"93","1660279","1554518","1774086","1685302"
"94","1769728","1554518","1774086","1686200"
"95","1753217","1554518","1774086","1686905"
"96","1743629","1554518","1774086","1687496"
"97","1660186","1554518","1774086","1687215"
"98","1711488","1554518","1774086","1687462"
"99","1720924","1554518","1774086","1687800"
"100","1662629","1554518","1774086","1687549"
"101","1611515","1554518","1774086","1686796"
"102","1720854","1554518","1774086","1687130"
"103","1720602","1554518","1774086","1687455"
"104","1695280","1554518","1774086","1687530"
"105","1762385","1554518","1774086","1688243"
"106","1707446","1554518","1774086","1688424"
"107","1794987","1554518","1794987","1689420"
"108","1743257","1554518","1794987","1689918"
"109","1639295","1554518","1794987","1689454"
"110","1601083","1554518","1794987","1688651"
"111","1664158","1554518","1794987","1688430"
"112","1707521","1554518","1794987","1688600"
"113","1765297","1554518","1794987","1689279"
"114","1707934","1554518","1794987","1689443"
"115","1778187","1554518","1794987","1690214"
"116","1650689","1554518","1794987","1689874"
"117","1697739","1554518","1794987","1689941"
"118","1745575","1554518","1794987","1690412"
"119","1687501","1554518","1794987","1690388"
"120","1679422","1554518","1794987","1690297"
"121","1696513","1554518","1794987","1690348"
"122","1634510","1554518","1794987","1689890"
"123","1713868","1554518","1794987","1690085"
"124","1741245","1554518","1794987","1690498"
"125","1624055","1554518","1794987","1689966"
"126","1724809","1554518","1794987","1690243"
"127","1720063","1554518","1794987","1690478"
"128","1608286","1554518","1794987","1689835"
"129","1694041","1554518","1794987","1689868"
"130","1740251","1554518","1794987","1690256"
"131","1680063","1554518","1794987","1690178"
"132","1656989","1554518","1794987","1689926"
"133","1735336","1554518","1794987","1690268"
"134","1807763","1554518","1807763","1691145"
"135","1795483","1554518","1807763","1691917"
"136","1672682","1554518","1807763","1691776"
"137","1683143","1554518","1807763","1691713"
"138","1518632","1518632","1807763","1690459"
"139","1713528","1518632","1807763","1690625"
"140","1691132","1518632","1807763","1690628"
"141","1724391","1518632","1807763","1690868"
"142","1684081","1518632","1807763","1690820"
"143","1733218","1518632","1807763","1691116"
"144","1626375","1518632","1807763","1690667"
"145","1663107","1518632","1807763","1690477"
"146","1654554","1518632","1807763","1690231"
"147","1731088","1518632","1807763","1690509"
"148","1827608","1518632","1827608","1691435"
"149","1684736","1518632","1827608","1691390"
"150","1687498","1518632","1827608","1691364"
"151","1751804","1518632","1827608","1691764"
"152","1674267","1518632","1827608","1691649"
"153","1691493","1518632","1827608","1691648"
"154","1646532","1518632","1827608","1691355"
"155","1745257","1518632","1827608","1691703"
"156","1639530","1518632","1827608","1691369"
"157","1707333","1518632","1827608","1691470"
"158","1535129","1518632","1827608","1690481"
"159","1781107","1518632","1827608","1691051"
"160","1675456","1518632","1827608","1690953"
"161","1656296","1518632","1827608","1690738"
"162","1701325","1518632","1827608","1690803"
"163","1764270","1518632","1827608","1691254"
"164","1772908","1518632","1827608","1691752"
"165","1652673","1518632","1827608","1691515"
"166","1631284","1518632","1827608","1691152"
"167","1736504","1518632","1827608","1691424"
"168","1714461","1518632","1827608","1691561"
"169","1714754","1518632","1827608","1691698"
"170","1717990","1518632","1827608","1691853"
"171","1688184","1518632","1827608","1691831"
"172","1662525","1518632","1827608","1691661"
"173","1641530","1518632","1827608","1691371"
"174","1668321","1518632","1827608","1691239"
"175","1652311","1518632","1827608","1691016"
"176","1692561","1518632","1827608","1691025"
"177","1734984","1518632","1827608","1691273"
"178","1598639","1518632","1827608","1690753"
"179","1722406","1518632","1827608","1690930"
"180","1677748","1518632","1827608","1690857"
"181","1791142","1518632","1827608","1691411"
"182","1747146","1518632","1827608","1691717"
"183","1694118","1518632","1827608","1691730"
"184","1700621","1518632","1827608","1691778"
"185","1721406","1518632","1827608","1691938"
"186","1763258","1518632","1827608","1692322"
"187","1682595","1518632","1827608","1692270"
"188","1583380","1518632","1827608","1691691"
"189","1647634","1518632","1827608","1691458"
"190","1607624","1518632","1827608","1691016"
"191","1616658","1518632","1827608","1690627"
