"Iteracja","Best Result","Worst Result","Average Cost","Standard Deviation"
"1","412","-2147483648","412","0"
"2","412","554","483","0"
"3","412","554","488","0"
"4","412","554","482","0"
"5","412","554","485","0"
"6","412","554","479","0"
"7","412","554","485","0"
"8","412","554","488","0"
"9","412","554","479","0"
"10","412","554","482","0"
"11","412","554","481","0"
"12","412","554","483","0"
"13","412","554","482","0"
"14","412","605","491","0"
"15","412","632","501","0"
"16","412","632","501","0"
"17","412","632","503","0"
"18","412","632","502","0"
"19","412","632","499","0"
"20","412","632","499","0"
"21","412","632","496","0"
"22","412","632","498","0"
"23","412","632","500","0"
"24","412","632","500","0"
"25","412","632","500","0"
"26","412","632","503","0"
"27","412","632","504","0"
"28","412","632","508","0"
"29","412","632","507","0"
"30","412","701","513","0"
"31","412","701","513","0"
"32","412","701","514","0"
"33","412","701","515","0"
"34","412","701","515","0"
"35","412","701","513","0"
"36","412","701","512","0"
"37","412","701","511","0"
"38","412","701","511","0"
"39","412","701","510","0"
"40","412","701","509","0"
"41","412","701","511","0"
"42","412","701","510","0"
"43","412","701","510","0"
"44","412","701","511","0"
"45","412","701","511","0"
"46","412","701","512","0"
"47","412","701","512","0"
"48","412","701","513","0"
"49","412","701","513","0"
"50","412","701","512","0"
"51","412","701","512","0"
"52","412","701","514","0"
"53","412","701","514","0"
"54","412","701","514","0"
"55","412","701","514","0"
"56","412","701","515","0"
"57","412","701","515","0"
"58","412","701","515","0"
"59","412","701","515","0"
"60","412","701","515","0"
"61","412","701","515","0"
"62","412","701","517","0"
"63","412","701","518","0"
"64","412","701","518","0"
"65","412","701","519","0"
"66","412","701","519","0"
"67","412","701","520","0"
"68","412","701","520","0"
"69","412","701","520","0"
"70","412","701","519","0"
"71","412","701","518","0"
"72","412","701","518","0"
"73","412","701","517","0"
"74","412","701","517","0"
"75","412","701","518","0"
"76","412","701","519","0"
"77","412","701","519","0"
"78","412","701","519","0"
"79","412","701","519","0"
"80","412","701","520","0"
"81","412","701","519","0"
"82","412","701","519","0"
"83","329","701","517","0"
"84","329","701","516","0"
"85","329","701","518","0"
"86","329","701","519","0"
"87","329","701","519","0"
"88","329","701","519","0"
"89","329","701","520","0"
"90","329","701","520","0"
"91","329","701","519","0"
"92","329","701","519","0"
"93","329","701","519","0"
"94","329","701","520","0"
"95","329","701","520","0"
"96","329","701","519","0"
"97","329","701","520","0"
"98","329","701","520","0"
"99","329","701","520","0"
"100","329","701","519","0"
"101","329","701","519","0"
"102","329","701","519","0"
"103","329","701","521","0"
"104","329","701","521","0"
"105","329","701","520","0"
"106","329","701","520","0"
"107","329","701","521","0"
"108","329","701","521","0"
"109","329","701","521","0"
"110","329","701","520","0"
"111","329","701","520","0"
"112","329","701","520","0"
"113","329","701","520","0"
"114","329","701","519","0"
"115","329","701","519","0"
"116","329","701","519","0"
"117","329","701","519","0"
"118","329","701","519","0"
"119","329","701","519","0"
"120","329","701","518","0"
"121","329","701","519","0"
"122","329","701","518","0"
"123","329","701","518","0"
"124","329","701","519","0"
"125","329","701","519","0"
"126","329","701","518","0"
"127","329","701","519","0"
"128","329","701","519","0"
"129","329","701","519","0"
"130","329","701","518","0"
"131","329","701","519","0"
"132","329","701","520","0"
"133","329","701","520","0"
"134","329","701","521","0"
"135","329","701","522","0"
"136","329","701","522","0"
"137","329","701","521","0"
"138","329","701","521","0"
"139","329","701","520","0"
"140","329","701","520","0"
"141","329","701","520","0"
"142","329","701","519","0"
"143","329","701","519","0"
"144","329","701","518","0"
"145","329","701","518","0"
"146","329","701","518","0"
"147","329","701","518","0"
"148","329","701","518","0"
"149","329","701","518","0"
"150","329","701","518","0"
"151","329","701","517","0"
"152","329","701","517","0"
"153","329","701","517","0"
"154","329","701","516","0"
"155","329","701","516","0"
"156","329","701","516","0"
"157","329","701","516","0"
"158","329","701","516","0"
"159","329","701","515","0"
"160","329","701","515","0"
"161","329","701","514","0"
"162","329","701","515","0"
"163","329","701","515","0"
"164","329","701","515","0"
"165","329","701","515","0"
"166","329","701","515","0"
"167","329","701","515","0"
"168","329","701","515","0"
"169","329","701","515","0"
"170","329","701","514","0"
"171","329","701","514","0"
"172","329","701","514","0"
"173","329","701","514","0"
"174","329","701","514","0"
"175","329","701","515","0"
"176","329","701","515","0"
"177","329","701","515","0"
"178","329","701","515","0"
"179","329","701","515","0"
"180","329","701","515","0"
"181","329","701","515","0"
"182","329","701","515","0"
"183","329","701","515","0"
"184","329","701","515","0"
"185","329","701","515","0"
"186","329","701","515","0"
"187","329","701","515","0"
"188","329","701","515","0"
"189","329","701","515","0"
"190","329","701","515","0"
"191","329","701","514","0"
"192","329","701","515","0"
"193","329","701","514","0"
"194","329","701","514","0"
"195","329","701","513","0"
"196","329","701","514","0"
"197","329","701","513","0"
"198","329","701","513","0"
"199","329","701","513","0"
"200","329","701","514","0"
"201","329","701","513","0"
"202","329","701","513","0"
"203","329","701","513","0"
"204","329","701","513","0"
"205","329","701","513","0"
"206","329","701","513","0"
"207","329","701","513","0"
"208","329","701","513","0"
"209","329","701","513","0"
"210","329","701","514","0"
"211","329","701","514","0"
"212","329","701","514","0"
"213","329","701","513","0"
"214","329","701","513","0"
"215","329","701","513","0"
"216","329","701","513","0"
"217","329","701","514","0"
"218","329","701","514","0"
"219","329","701","514","0"
"220","329","701","514","0"
"221","329","701","514","0"
"222","329","701","514","0"
"223","329","701","514","0"
"224","329","701","514","0"
"225","329","701","514","0"
"226","329","701","514","0"
"227","329","701","514","0"
"228","329","701","514","0"
"229","329","701","514","0"
"230","329","701","514","0"
"231","329","701","514","0"
"232","329","701","514","0"
"233","329","701","513","0"
"234","329","701","513","0"
"235","329","701","513","0"
"236","329","701","513","0"
"237","329","701","513","0"
"238","329","701","513","0"
"239","329","701","513","0"
"240","329","701","513","0"
"241","329","701","512","0"
"242","329","701","512","0"
"243","329","701","512","0"
"244","329","701","512","0"
"245","329","701","511","0"
"246","329","701","511","0"
"247","329","701","511","0"
"248","329","701","512","0"
"249","329","701","512","0"
"250","329","701","512","0"
"251","329","701","512","0"
"252","329","701","511","0"
"253","329","701","511","0"
"254","329","701","511","0"
"255","329","701","511","0"
"256","329","701","511","0"
"257","329","701","511","0"
"258","329","701","511","0"
"259","329","701","511","0"
"260","329","701","510","0"
"261","329","701","510","0"
"262","329","701","510","0"
"263","329","701","510","0"
"264","329","701","509","0"
"265","329","701","509","0"
"266","329","701","510","0"
"267","329","701","510","0"
"268","329","701","510","0"
"269","329","701","509","0"
"270","329","701","510","0"
"271","329","701","510","0"
"272","329","701","509","0"
"273","329","701","509","0"
"274","329","701","509","0"
"275","329","701","509","0"
"276","329","701","509","0"
"277","329","701","509","0"
"278","329","701","509","0"
"279","329","701","509","0"
"280","329","701","509","0"
"281","329","701","509","0"
"282","329","701","509","0"
"283","329","701","509","0"
"284","329","701","510","0"
"285","329","701","510","0"
"286","329","701","509","0"
"287","329","701","509","0"
"288","329","701","509","0"
"289","329","701","509","0"
"290","329","701","509","0"
"291","329","701","509","0"
"292","329","701","508","0"
"293","329","701","508","0"
"294","329","701","508","0"
"295","329","701","508","0"
"296","329","701","508","0"
"297","329","701","508","0"
"298","329","701","508","0"
"299","329","701","509","0"
"300","329","701","509","0"
"301","329","701","509","0"
"302","329","701","509","0"
"303","329","701","508","0"
"304","329","701","508","0"
"305","329","701","508","0"
"306","329","701","508","0"
"307","329","701","508","0"
"308","329","701","508","0"
"309","329","701","508","0"
"310","329","701","508","0"
"311","329","701","508","0"
"312","329","701","508","0"
"313","329","701","508","0"
"314","329","701","508","0"
"315","329","701","508","0"
"316","329","701","508","0"
"317","329","701","508","0"
"318","329","701","508","0"
"319","329","701","508","0"
"320","329","701","508","0"
"321","329","701","508","0"
"322","329","701","507","0"
"323","329","701","507","0"
"324","329","701","508","0"
"325","329","701","508","0"
"326","329","701","508","0"
"327","329","701","508","0"
"328","329","701","508","0"
"329","329","701","508","0"
"330","329","701","508","0"
"331","329","701","508","0"
"332","329","701","508","0"
"333","329","701","508","0"
"334","329","701","507","0"
"335","329","701","507","0"
"336","329","701","508","0"
"337","329","701","508","0"
"338","329","701","508","0"
"339","329","701","508","0"
"340","329","701","508","0"
"341","329","701","508","0"
"342","329","701","508","0"
"343","329","701","508","0"
"344","329","701","508","0"
"345","329","701","509","0"
"346","329","701","508","0"
"347","329","701","508","0"
"348","329","701","508","0"
"349","329","701","508","0"
"350","329","701","508","0"
"351","329","701","508","0"
"352","329","701","508","0"
"353","329","701","508","0"
"354","329","701","508","0"
"355","329","701","508","0"
"356","329","701","509","0"
"357","329","701","509","0"
"358","329","701","509","0"
"359","329","701","509","0"
"360","329","701","509","0"
"361","329","701","509","0"
"362","329","701","509","0"
"363","329","701","510","0"
"364","329","701","510","0"
"365","329","701","510","0"
"366","329","701","510","0"
"367","329","701","510","0"
"368","329","701","510","0"
"369","329","701","510","0"
"370","329","701","510","0"
"371","329","701","511","0"
"372","329","701","511","0"
"373","329","701","511","0"
"374","329","701","511","0"
"375","329","701","511","0"
"376","329","701","511","0"
"377","329","701","511","0"
"378","329","701","511","0"
"379","329","701","511","0"
"380","329","701","511","0"
"381","329","701","511","0"
"382","329","701","510","0"
"383","329","701","511","0"
"384","329","701","511","0"
"385","329","701","511","0"
"386","329","701","511","0"
"387","329","701","511","0"
"388","329","701","511","0"
"389","329","701","511","0"
"390","329","701","511","0"
"391","329","701","511","0"
"392","329","701","511","0"
"393","329","701","512","0"
"394","329","701","512","0"
"395","329","701","512","0"
"396","329","701","512","0"
"397","329","701","511","0"
"398","329","701","511","0"
"399","329","701","512","0"
"400","329","701","511","0"
"401","329","701","511","0"
"402","329","701","511","0"
"403","329","701","511","0"
"404","329","701","511","0"
"405","329","701","511","0"
"406","329","701","511","0"
"407","329","701","511","0"
"408","329","701","511","0"
"409","329","701","511","0"
"410","329","701","511","0"
"411","329","701","511","0"
"412","329","701","511","0"
"413","329","701","511","0"
"414","329","701","511","0"
"415","329","701","511","0"
"416","329","701","511","0"
"417","329","701","511","0"
"418","329","701","511","0"
"419","329","701","511","0"
"420","329","701","511","0"
"421","329","701","511","0"
"422","329","701","512","0"
"423","329","701","512","0"
"424","329","701","512","0"
"425","329","701","512","0"
"426","329","701","512","0"
"427","329","701","512","0"
"428","329","701","512","0"
"429","329","701","512","0"
"430","329","701","511","0"
"431","329","701","511","0"
"432","329","701","511","0"
"433","329","701","511","0"
"434","329","701","511","0"
"435","329","701","511","0"
"436","329","701","511","0"
"437","329","701","511","0"
"438","329","701","511","0"
"439","329","701","511","0"
"440","329","701","511","0"
"441","329","701","511","0"
"442","329","701","511","0"
"443","329","701","511","0"
"444","329","701","511","0"
"445","329","701","511","0"
"446","329","701","511","0"
"447","329","701","511","0"
"448","329","701","511","0"
"449","329","701","511","0"
"450","329","701","511","0"
"451","329","701","511","0"
"452","329","701","510","0"
"453","329","701","510","0"
"454","329","701","510","0"
"455","329","701","510","0"
"456","329","701","510","0"
"457","329","701","510","0"
"458","329","701","510","0"
"459","329","701","510","0"
"460","329","701","510","0"
"461","329","701","510","0"
"462","329","701","510","0"
"463","329","701","510","0"
"464","329","701","510","0"
"465","329","701","510","0"
"466","329","701","510","0"
"467","329","701","510","0"
"468","329","701","510","0"
"469","329","701","510","0"
"470","329","701","510","0"
"471","329","701","510","0"
"472","329","701","510","0"
"473","329","701","510","0"
"474","329","701","510","0"
"475","329","701","510","0"
"476","329","701","510","0"
"477","329","701","510","0"
"478","329","701","510","0"
"479","329","701","509","0"
"480","329","701","510","0"
"481","329","701","510","0"
"482","329","701","510","0"
"483","329","701","510","0"
"484","329","701","510","0"
"485","329","701","510","0"
"486","329","701","509","0"
"487","329","701","509","0"
"488","329","701","509","0"
"489","329","701","510","0"
"490","329","701","510","0"
"491","329","701","510","0"
"492","329","701","510","0"
"493","329","701","510","0"
"494","329","701","510","0"
"495","329","701","510","0"
"496","329","701","510","0"
"497","329","701","510","0"
"498","329","701","510","0"
"499","329","701","511","0"
"500","329","701","511","0"
"501","329","701","511","0"
"502","329","701","510","0"
"503","329","701","511","0"
"504","329","701","511","0"
"505","329","701","511","0"
"506","329","701","511","0"
"507","329","701","511","0"
"508","329","701","510","0"
"509","329","701","510","0"
"510","329","701","511","0"
"511","329","701","511","0"
"512","329","701","511","0"
"513","329","701","511","0"
"514","329","701","511","0"
"515","329","701","511","0"
"516","329","701","511","0"
"517","329","701","511","0"
"518","329","701","511","0"
"519","329","701","511","0"
"520","329","701","511","0"
"521","329","701","511","0"
"522","329","701","511","0"
"523","329","701","511","0"
"524","329","701","511","0"
"525","329","701","511","0"
"526","329","701","510","0"
"527","329","701","511","0"
"528","329","701","511","0"
"529","329","701","511","0"
"530","329","701","511","0"
"531","329","701","511","0"
"532","329","701","511","0"
"533","329","701","511","0"
"534","329","701","511","0"
"535","329","701","511","0"
"536","329","701","511","0"
"537","329","701","511","0"
"538","329","701","511","0"
"539","329","701","511","0"
"540","329","701","511","0"
"541","329","701","511","0"
"542","329","701","511","0"
"543","329","701","511","0"
"544","329","701","511","0"
"545","329","701","511","0"
"546","329","701","511","0"
"547","329","701","511","0"
"548","329","701","511","0"
"549","329","701","511","0"
"550","329","701","511","0"
"551","329","701","511","0"
"552","329","701","511","0"
"553","329","701","511","0"
"554","329","701","511","0"
"555","329","701","511","0"
"556","329","701","511","0"
"557","329","701","511","0"
"558","329","701","511","0"
"559","329","701","511","0"
"560","329","701","511","0"
"561","329","701","511","0"
"562","329","701","511","0"
"563","329","701","511","0"
"564","329","701","511","0"
"565","329","701","511","0"
"566","329","701","511","0"
"567","329","701","511","0"
"568","329","701","511","0"
"569","329","701","511","0"
"570","329","701","511","0"
"571","329","701","511","0"
"572","329","701","511","0"
"573","329","701","511","0"
"574","329","701","511","0"
"575","329","701","511","0"
"576","329","701","511","0"
"577","329","701","511","0"
"578","329","701","511","0"
"579","329","701","511","0"
"580","329","701","511","0"
"581","329","701","512","0"
"582","329","701","512","0"
"583","329","701","512","0"
"584","329","701","512","0"
"585","329","701","512","0"
"586","329","701","512","0"
"587","329","701","512","0"
"588","329","701","512","0"
"589","329","701","512","0"
"590","329","701","512","0"
"591","329","701","511","0"
"592","329","701","511","0"
"593","329","701","511","0"
"594","329","701","511","0"
"595","329","701","511","0"
"596","329","701","511","0"
"597","329","701","512","0"
"598","329","701","512","0"
"599","329","701","512","0"
"600","329","701","512","0"
"601","329","701","512","0"
"602","329","701","512","0"
"603","329","701","512","0"
"604","329","701","512","0"
"605","329","701","512","0"
"606","329","701","512","0"
"607","329","701","512","0"
"608","329","701","512","0"
"609","329","701","512","0"
"610","329","701","512","0"
"611","329","701","512","0"
"612","329","701","512","0"
"613","329","701","512","0"
"614","329","701","512","0"
"615","329","701","512","0"
"616","329","701","512","0"
"617","329","701","512","0"
"618","329","701","512","0"
"619","329","701","512","0"
"620","329","701","512","0"
"621","329","701","512","0"
"622","329","701","512","0"
"623","329","701","512","0"
"624","329","701","512","0"
"625","329","701","512","0"
"626","329","701","512","0"
"627","329","701","512","0"
"628","329","701","512","0"
"629","329","701","512","0"
"630","329","701","512","0"
"631","329","701","512","0"
"632","329","701","512","0"
"633","329","701","512","0"
"634","329","701","512","0"
"635","329","701","512","0"
"636","329","701","511","0"
"637","329","701","511","0"
"638","329","701","511","0"
"639","329","701","511","0"
"640","329","701","511","0"
"641","329","701","511","0"
"642","329","701","511","0"
"643","329","701","511","0"
"644","329","701","511","0"
"645","329","701","511","0"
"646","329","701","511","0"
"647","329","701","511","0"
"648","329","701","511","0"
"649","329","701","511","0"
"650","329","701","511","0"
"651","329","701","511","0"
"652","329","701","511","0"
"653","329","701","511","0"
"654","329","701","511","0"
"655","329","701","511","0"
"656","329","701","511","0"
"657","329","701","511","0"
"658","329","701","511","0"
"659","329","701","511","0"
"660","329","701","511","0"
"661","329","701","511","0"
"662","329","701","511","0"
"663","329","701","511","0"
