"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","3915610","6004556","4742540","591606.7988075911"
"2","3939815","5994786","4757705","579755.6812804802"
"3","3953430","6078394","4822090","609628.2064327125"
"4","3925556","6017084","4763615","590905.5555206068"
"5","3929160","5973140","4714925","579108.2475317303"
"6","3842432","5931881","4661497","583879.0665876617"
"7","3889760","5959113","4708376","582287.0670332705"
"8","3836727","5985426","4675422","594339.8309828589"
"9","3932500","5997284","4734128","575138.5541705205"
"10","3973867","6019802","4810842","583568.7822190366"
