"Iteracja","Best Result","Worst Result","Average Cost"
"1","5886938","6117204","5994074"
"2","5886938","6089491","5992124"
"3","5879153","6064270","5985830"
"4","5879153","6063980","5984743"
"5","5879153","6061515","5982906"
"6","5879153","6053733","5980292"
"7","5865980","6051187","5975965"
"8","5865980","6041241","5971200"
"9","5865980","6034548","5967053"
"10","5865980","6032951","5965317"
"11","5865980","6030314","5963892"
"12","5865980","6028428","5961770"
"13","5865980","6023879","5959632"
"14","5839913","6018967","5955599"
"15","5839913","6015637","5953221"
"16","5821331","6013635","5949590"
"17","5821331","6013462","5948437"
"18","5821331","6012500","5945514"
"19","5821331","6012454","5944918"
"20","5821331","6011338","5943602"
"21","5821331","6010508","5941973"
"22","5821331","6010176","5940730"
"23","5821331","6005320","5937895"
"24","5821331","6003519","5935857"
"25","5821331","6002633","5934976"
"26","5821331","6001255","5932698"
"27","5801020","5999789","5931016"
"28","5801020","5998491","5929875"
"29","5801020","5997988","5928822"
"30","5801020","5996863","5928414"
"31","5801020","5996784","5927343"
"32","5801020","5993973","5924891"
"33","5801020","5991934","5922574"
"34","5801020","5988183","5920673"
"35","5801020","5984237","5918429"
"36","5801020","5983121","5915491"
"37","5789151","5981587","5913551"
"38","5789151","5979250","5910353"
"39","5789151","5979250","5910353"
"40","5774835","5977036","5907932"
"41","5774835","5971320","5904573"
"42","5774835","5970924","5903484"
"43","5774835","5968197","5901463"
"44","5774835","5964092","5898772"
"45","5774835","5963219","5897905"
"46","5774835","5959601","5896079"
"47","5774835","5959209","5895711"
"48","5774835","5959045","5895190"
"49","5774835","5955676","5892458"
"50","5774835","5955676","5892458"
"51","5774835","5953551","5890270"
"52","5774835","5951130","5887052"
"53","5761939","5949649","5884879"
"54","5761939","5945622","5883306"
"55","5757329","5941798","5880414"
"56","5757329","5935014","5877566"
"57","5757329","5933026","5876360"
"58","5757329","5929596","5874777"
"59","5757329","5929473","5874332"
"60","5757329","5926853","5872304"
"61","5757329","5926372","5871502"
"62","5757329","5924852","5870484"
"63","5757329","5923383","5869755"
"64","5757329","5920151","5866756"
"65","5757329","5918018","5864796"
"66","5757329","5916945","5863388"
"67","5757329","5916479","5862784"
"68","5734896","5916131","5861590"
"69","5734896","5915571","5861102"
"70","5734896","5911621","5857979"
"71","5734896","5907978","5854801"
"72","5734896","5906673","5854057"
"73","5734896","5906293","5853738"
"74","5734896","5906031","5852957"
"75","5734896","5905482","5851668"
"76","5734896","5903794","5850332"
"77","5734896","5902831","5848563"
"78","5734896","5901151","5847528"
"79","5734896","5899592","5846451"
"80","5734896","5896166","5844004"
"81","5734896","5895103","5843259"
"82","5734896","5894266","5841014"
"83","5734896","5893751","5840050"
"84","5734896","5893075","5838010"
"85","5734896","5892770","5837041"
"86","5734896","5892244","5836572"
"87","5734896","5890725","5834743"
"88","5734896","5888792","5831134"
"89","5734896","5888003","5830008"
"90","5734896","5885417","5827187"
"91","5734896","5883596","5825881"
"92","5734896","5882890","5825600"
"93","5734896","5881429","5823934"
"94","5734896","5879900","5822371"
"95","5734896","5878078","5818972"
"96","5734896","5871982","5814970"
"97","5734896","5871982","5814970"
"98","5734896","5871439","5814732"
"99","5734896","5870808","5813688"
"100","5734896","5869824","5812173"
"101","5734896","5868938","5811634"
"102","5734896","5866198","5810093"
"103","5734896","5865844","5808384"
"104","5734896","5864751","5807078"
"105","5705743","5861443","5805134"
"106","5705743","5857489","5803720"
"107","5705743","5855360","5800670"
"108","5705743","5852326","5798325"
"109","5705743","5851594","5797675"
"110","5705743","5850323","5795420"
"111","5705743","5847144","5792879"
"112","5699556","5844740","5790732"
"113","5699556","5844153","5789200"
"114","5699556","5841829","5787234"
"115","5699556","5839414","5784369"
"116","5699556","5837633","5782197"
"117","5666706","5837253","5781182"
"118","5666706","5831182","5778143"
"119","5666706","5828247","5775907"
"120","5666706","5825386","5773289"
"121","5666706","5824485","5772946"
"122","5666706","5823387","5772130"
"123","5666706","5822346","5771172"
"124","5666706","5821874","5769813"
"125","5666706","5820255","5767077"
"126","5666706","5818466","5764901"
