"Iteracja","Current","Best","Worst","Average"
"1","5867510","5867510","5867510","5867510"
"2","5985227","5867510","5985227","5926368"
"3","5953781","5867510","5985227","5935506"
"4","5986747","5867510","5986747","5948316"
"5","5947199","5867510","5986747","5948092"
"6","5858633","5858633","5986747","5933182"
"7","6019460","5858633","6019460","5945508"
"8","5916444","5858633","6019460","5941875"
"9","5799567","5799567","6019460","5926063"
"10","6018837","5799567","6019460","5935340"
"11","5939748","5799567","6019460","5935741"
"12","5975788","5799567","6019460","5939078"
"13","5923105","5799567","6019460","5937849"
"14","6017662","5799567","6019460","5943550"
"15","6058581","5799567","6058581","5951219"
"16","6062242","5799567","6062242","5958158"
"17","5972015","5799567","6062242","5958973"
"18","5996156","5799567","6062242","5961039"
"19","6021465","5799567","6062242","5964219"
"20","6018911","5799567","6062242","5966953"
"21","5935587","5799567","6062242","5965460"
"22","6064197","5799567","6064197","5969948"
"23","6019360","5799567","6064197","5972096"
"24","6056311","5799567","6064197","5975605"
"25","6026255","5799567","6064197","5977631"
"26","6007413","5799567","6064197","5978776"
"27","6020479","5799567","6064197","5980321"
"28","6040518","5799567","6064197","5982471"
"29","5953397","5799567","6064197","5981468"
"30","5935994","5799567","6064197","5979952"
"31","5991879","5799567","6064197","5980337"
"32","5932950","5799567","6064197","5978856"
"33","6036599","5799567","6064197","5980606"
"34","6062523","5799567","6064197","5983015"
"35","5972022","5799567","6064197","5982701"
"36","6031841","5799567","6064197","5984066"
"37","6110397","5799567","6110397","5987481"
"38","6008465","5799567","6110397","5988033"
"39","6010168","5799567","6110397","5988600"
"40","5976142","5799567","6110397","5988289"
"41","5938618","5799567","6110397","5987077"
"42","6025740","5799567","6110397","5987998"
"43","5885794","5799567","6110397","5985621"
"44","6036233","5799567","6110397","5986771"
"45","5986710","5799567","6110397","5986770"
"46","5985004","5799567","6110397","5986732"
"47","6028396","5799567","6110397","5987618"
"48","5971936","5799567","6110397","5987291"
"49","5960409","5799567","6110397","5986743"
"50","5999081","5799567","6110397","5986989"
"51","6053301","5799567","6110397","5988290"
"52","6004322","5799567","6110397","5988598"
"53","6036334","5799567","6110397","5989499"
"54","6023680","5799567","6110397","5990132"
"55","6018961","5799567","6110397","5990656"
"56","6016753","5799567","6110397","5991122"
"57","6074566","5799567","6110397","5992586"
"58","5970315","5799567","6110397","5992202"
"59","5966547","5799567","6110397","5991767"
"60","5926092","5799567","6110397","5990672"
"61","6052144","5799567","6110397","5991680"
"62","5938225","5799567","6110397","5990818"
"63","5999660","5799567","6110397","5990958"
"64","6006846","5799567","6110397","5991206"
"65","5969654","5799567","6110397","5990875"
"66","6066193","5799567","6110397","5992016"
"67","6058554","5799567","6110397","5993009"
"68","6086376","5799567","6110397","5994382"
"69","5958452","5799567","6110397","5993861"
"70","6037730","5799567","6110397","5994488"
"71","5891207","5799567","6110397","5993033"
"72","6006177","5799567","6110397","5993216"
"73","5963441","5799567","6110397","5992808"
"74","6020353","5799567","6110397","5993180"
"75","6076477","5799567","6110397","5994291"
"76","5928632","5799567","6110397","5993427"
"77","5942925","5799567","6110397","5992771"
"78","6016060","5799567","6110397","5993070"
"79","5997844","5799567","6110397","5993130"
"80","6053489","5799567","6110397","5993885"
"81","5929186","5799567","6110397","5993086"
"82","6072743","5799567","6110397","5994057"
"83","6021904","5799567","6110397","5994393"
"84","5987140","5799567","6110397","5994306"
"85","6022432","5799567","6110397","5994637"
"86","6020476","5799567","6110397","5994938"
"87","5979150","5799567","6110397","5994756"
"88","6009253","5799567","6110397","5994921"
"89","6099283","5799567","6110397","5996094"
"90","6014289","5799567","6110397","5996296"
"91","5989148","5799567","6110397","5996217"
"92","6006094","5799567","6110397","5996325"
"93","6071005","5799567","6110397","5997128"
"94","5900255","5799567","6110397","5996097"
"95","5899298","5799567","6110397","5995078"
"96","5970877","5799567","6110397","5994826"
"97","5976886","5799567","6110397","5994641"
"98","5947929","5799567","6110397","5994164"
"99","6002224","5799567","6110397","5994246"
"100","6075186","5799567","6110397","5995055"
"101","6047834","5799567","6110397","5995578"
"102","6100596","5799567","6110397","5996607"
"103","6042054","5799567","6110397","5997049"
"104","6070998","5799567","6110397","5997760"
"105","6004155","5799567","6110397","5997820"
"106","5989409","5799567","6110397","5997741"
"107","5973792","5799567","6110397","5997517"
"108","6088779","5799567","6110397","5998362"
"109","6050965","5799567","6110397","5998845"
"110","6069834","5799567","6110397","5999490"
