"Iteracja","Current","Best","Worst","Average"
"1","6009469","6009469","6009469","6009469"
"2","6013984","6009469","6013984","6011726"
"3","5943945","5943945","6013984","5989132"
"4","6050441","5943945","6050441","6004459"
"5","6016907","5943945","6050441","6006949"
"6","5982692","5943945","6050441","6002906"
"7","6050406","5943945","6050441","6009692"
"8","5954785","5943945","6050441","6002828"
"9","6034906","5943945","6050441","6006392"
"10","5951101","5943945","6050441","6000863"
"11","6060883","5943945","6060883","6006319"
"12","6074396","5943945","6074396","6011992"
"13","5982238","5943945","6074396","6009704"
"14","5989047","5943945","6074396","6008228"
"15","5958495","5943945","6074396","6004913"
"16","5969290","5943945","6074396","6002686"
"17","5989684","5943945","6074396","6001921"
"18","5939053","5939053","6074396","5998429"
"19","5987578","5939053","6074396","5997857"
"20","5934823","5934823","6074396","5994706"
"21","5997542","5934823","6074396","5994841"
"22","5992314","5934823","6074396","5994726"
"23","6048656","5934823","6074396","5997071"
"24","6014199","5934823","6074396","5997784"
"25","5958292","5934823","6074396","5996205"
"26","5981026","5934823","6074396","5995621"
"27","5938315","5934823","6074396","5993498"
"28","6024597","5934823","6074396","5994609"
"29","5987459","5934823","6074396","5994362"
"30","6040966","5934823","6074396","5995916"
"31","6050131","5934823","6074396","5997665"
"32","5962648","5934823","6074396","5996570"
"33","6020228","5934823","6074396","5997287"
"34","6099304","5934823","6099304","6000288"
"35","6060808","5934823","6099304","6002017"
"36","5959561","5934823","6099304","6000838"
"37","5998533","5934823","6099304","6000775"
"38","5987520","5934823","6099304","6000426"
"39","5962547","5934823","6099304","5999455"
"40","6037534","5934823","6099304","6000407"
"41","6016713","5934823","6099304","6000805"
"42","6021874","5934823","6099304","6001306"
"43","6028714","5934823","6099304","6001944"
"44","5976268","5934823","6099304","6001360"
"45","5993576","5934823","6099304","6001187"
"46","6100171","5934823","6100171","6003339"
"47","6002789","5934823","6100171","6003327"
"48","5881001","5881001","6100171","6000779"
"49","6061796","5881001","6100171","6002024"
"50","6010736","5881001","6100171","6002198"
"51","5919652","5881001","6100171","6000580"
"52","6074922","5881001","6100171","6002009"
"53","6074234","5881001","6100171","6003372"
"54","6019232","5881001","6100171","6003666"
"55","6060388","5881001","6100171","6004697"
"56","6030641","5881001","6100171","6005160"
"57","6005524","5881001","6100171","6005167"
"58","6010677","5881001","6100171","6005262"
"59","6114012","5881001","6114012","6007105"
"60","6023328","5881001","6114012","6007375"
"61","5952268","5881001","6114012","6006472"
"62","5906369","5881001","6114012","6004857"
"63","5960008","5881001","6114012","6004145"
"64","5945605","5881001","6114012","6003231"
"65","5876675","5876675","6114012","6001284"
"66","5909036","5876675","6114012","5999886"
"67","6052525","5876675","6114012","6000672"
"68","6001641","5876675","6114012","6000686"
"69","6037482","5876675","6114012","6001219"
"70","5968444","5876675","6114012","6000751"
"71","5974643","5876675","6114012","6000383"
"72","5992615","5876675","6114012","6000275"
"73","5976177","5876675","6114012","5999945"
"74","5973277","5876675","6114012","5999585"
"75","5964290","5876675","6114012","5999114"
"76","5988294","5876675","6114012","5998972"
"77","6046641","5876675","6114012","5999591"
"78","6045314","5876675","6114012","6000177"
"79","5963035","5876675","6114012","5999707"
"80","5934587","5876675","6114012","5998893"
"81","6023568","5876675","6114012","5999198"
"82","5993386","5876675","6114012","5999127"
"83","6038109","5876675","6114012","5999596"
"84","5972528","5876675","6114012","5999274"
"85","5920135","5876675","6114012","5998343"
"86","6014560","5876675","6114012","5998532"
"87","5974414","5876675","6114012","5998254"
"88","6144061","5876675","6144061","5999911"
"89","5901932","5876675","6144061","5998810"
"90","6112722","5876675","6144061","6000076"
"91","5979749","5876675","6144061","5999853"
"92","5915628","5876675","6144061","5998937"
"93","5989170","5876675","6144061","5998832"
"94","6040136","5876675","6144061","5999272"
"95","5914511","5876675","6144061","5998379"
"96","6131356","5876675","6144061","5999765"
"97","6081666","5876675","6144061","6000609"
"98","5971480","5876675","6144061","6000312"
"99","5946640","5876675","6144061","5999769"
"100","6009974","5876675","6144061","5999872"
"101","5855466","5855466","6144061","5998442"
"102","5988511","5855466","6144061","5998344"
"103","5998276","5855466","6144061","5998344"
"104","5992770","5855466","6144061","5998290"
"105","5980888","5855466","6144061","5998124"
"106","6100326","5855466","6144061","5999089"
"107","6035133","5855466","6144061","5999425"
"108","5910936","5855466","6144061","5998606"
"109","5988296","5855466","6144061","5998511"
"110","5932909","5855466","6144061","5997915"
"111","6060022","5855466","6144061","5998475"
"112","5942855","5855466","6144061","5997978"
"113","6064538","5855466","6144061","5998567"
"114","6025152","5855466","6144061","5998800"
"115","6064162","5855466","6144061","5999369"
"116","5975753","5855466","6144061","5999165"
"117","6007396","5855466","6144061","5999235"
"118","5934644","5855466","6144061","5998688"
"119","5947443","5855466","6144061","5998257"
"120","6028317","5855466","6144061","5998508"
"121","5940327","5855466","6144061","5998027"
"122","5944382","5855466","6144061","5997587"
"123","6010816","5855466","6144061","5997695"
"124","5956021","5855466","6144061","5997359"
"125","6060596","5855466","6144061","5997865"
"126","5958353","5855466","6144061","5997551"
"127","6075158","5855466","6144061","5998162"
"128","6111670","5855466","6144061","5999049"
"129","6083987","5855466","6144061","5999707"
"130","5989317","5855466","6144061","5999627"
"131","5923125","5855466","6144061","5999043"
"132","5990024","5855466","6144061","5998975"
"133","5995309","5855466","6144061","5998947"
"134","6094908","5855466","6144061","5999664"
"135","5951766","5855466","6144061","5999309"
"136","6007085","5855466","6144061","5999366"
"137","5960609","5855466","6144061","5999083"
"138","5985816","5855466","6144061","5998987"
"139","5951350","5855466","6144061","5998644"
"140","5841364","5841364","6144061","5997521"
"141","5976500","5841364","6144061","5997372"
"142","5924320","5841364","6144061","5996857"
"143","6028380","5841364","6144061","5997078"
"144","5952079","5841364","6144061","5996765"
"145","6042520","5841364","6144061","5997081"
"146","6036281","5841364","6144061","5997349"
"147","6029995","5841364","6144061","5997571"
"148","5881108","5841364","6144061","5996784"
"149","6038562","5841364","6144061","5997065"
"150","6118249","5841364","6144061","5997873"
"151","6029056","5841364","6144061","5998079"
"152","6006994","5841364","6144061","5998138"
"153","5979456","5841364","6144061","5998016"
"154","5924212","5841364","6144061","5997536"
"155","5922749","5841364","6144061","5997054"
"156","6075386","5841364","6144061","5997556"
"157","5959419","5841364","6144061","5997313"
"158","5948556","5841364","6144061","5997005"
"159","6032308","5841364","6144061","5997227"
"160","5990396","5841364","6144061","5997184"
"161","6011897","5841364","6144061","5997275"
"162","5905152","5841364","6144061","5996707"
"163","6008015","5841364","6144061","5996776"
"164","6024539","5841364","6144061","5996945"
"165","5960650","5841364","6144061","5996725"
"166","5964637","5841364","6144061","5996532"
"167","6027065","5841364","6144061","5996715"
"168","5973047","5841364","6144061","5996574"
"169","6007614","5841364","6144061","5996639"
"170","5994801","5841364","6144061","5996628"
"171","5954433","5841364","6144061","5996382"
"172","5909455","5841364","6144061","5995876"
"173","6014529","5841364","6144061","5995984"
"174","6076175","5841364","6144061","5996445"
"175","5993531","5841364","6144061","5996428"
"176","6007575","5841364","6144061","5996492"
"177","5846729","5841364","6144061","5995646"
"178","5912381","5841364","6144061","5995178"
"179","6043850","5841364","6144061","5995450"
"180","6023544","5841364","6144061","5995606"
"181","6026528","5841364","6144061","5995777"
"182","6094443","5841364","6144061","5996319"
"183","5977768","5841364","6144061","5996217"
"184","5941641","5841364","6144061","5995921"
"185","5983353","5841364","6144061","5995853"
"186","5970883","5841364","6144061","5995719"
"187","6015654","5841364","6144061","5995825"
"188","5948256","5841364","6144061","5995572"
"189","6123535","5841364","6144061","5996249"
"190","6018968","5841364","6144061","5996369"
"191","6143300","5841364","6144061","5997138"
"192","6029233","5841364","6144061","5997305"
"193","6047997","5841364","6144061","5997568"
"194","5962009","5841364","6144061","5997385"
"195","5982708","5841364","6144061","5997309"
"196","6030621","5841364","6144061","5997479"
"197","5927632","5841364","6144061","5997125"
"198","6016677","5841364","6144061","5997223"
"199","5963563","5841364","6144061","5997054"
"200","5961186","5841364","6144061","5996875"
"201","5994867","5841364","6144061","5996865"
"202","6023182","5841364","6144061","5996995"
"203","5986665","5841364","6144061","5996944"
"204","6044507","5841364","6144061","5997177"
"205","6007672","5841364","6144061","5997229"
"206","6045729","5841364","6144061","5997464"
"207","6011899","5841364","6144061","5997534"
"208","6009451","5841364","6144061","5997591"
"209","6061077","5841364","6144061","5997895"
"210","6047164","5841364","6144061","5998129"
"211","6030272","5841364","6144061","5998282"
"212","6037389","5841364","6144061","5998466"
"213","5899393","5841364","6144061","5998001"
"214","6013392","5841364","6144061","5998073"
"215","5926516","5841364","6144061","5997740"
"216","6125166","5841364","6144061","5998330"
"217","5928593","5841364","6144061","5998009"
"218","5994410","5841364","6144061","5997992"
"219","5980661","5841364","6144061","5997913"
"220","6074236","5841364","6144061","5998260"
"221","6016025","5841364","6144061","5998340"
"222","6001180","5841364","6144061","5998353"
"223","6083893","5841364","6144061","5998737"
"224","6051667","5841364","6144061","5998973"
"225","6109889","5841364","6144061","5999466"
"226","5988080","5841364","6144061","5999416"
"227","6044371","5841364","6144061","5999614"
"228","6052790","5841364","6144061","5999847"
"229","5993134","5841364","6144061","5999818"
"230","5991052","5841364","6144061","5999780"
"231","5970408","5841364","6144061","5999652"
"232","5925002","5841364","6144061","5999331"
"233","6044585","5841364","6144061","5999525"
"234","5995790","5841364","6144061","5999509"
"235","5962266","5841364","6144061","5999350"
"236","6032555","5841364","6144061","5999491"
"237","6034754","5841364","6144061","5999640"
"238","6097784","5841364","6144061","6000052"
"239","6101602","5841364","6144061","6000477"
"240","5995199","5841364","6144061","6000455"
"241","6019004","5841364","6144061","6000532"
"242","6004475","5841364","6144061","6000548"
"243","6050914","5841364","6144061","6000756"
"244","5966342","5841364","6144061","6000615"
"245","5960729","5841364","6144061","6000452"
"246","6108555","5841364","6144061","6000891"
"247","6042560","5841364","6144061","6001060"
"248","5992330","5841364","6144061","6001025"
"249","5966250","5841364","6144061","6000885"
"250","5929754","5841364","6144061","6000601"
"251","5965723","5841364","6144061","6000462"
"252","5983516","5841364","6144061","6000394"
"253","5945829","5841364","6144061","6000179"
"254","5903446","5841364","6144061","5999798"
"255","5980851","5841364","6144061","5999724"
"256","6053207","5841364","6144061","5999932"
"257","6052782","5841364","6144061","6000138"
"258","5938065","5841364","6144061","5999897"
"259","5929158","5841364","6144061","5999624"
"260","6077303","5841364","6144061","5999923"
"261","5926927","5841364","6144061","5999643"
"262","5996735","5841364","6144061","5999632"
"263","6009003","5841364","6144061","5999668"
"264","5969330","5841364","6144061","5999553"
"265","5999975","5841364","6144061","5999555"
"266","5916765","5841364","6144061","5999243"
"267","5990048","5841364","6144061","5999209"
"268","5967676","5841364","6144061","5999091"
"269","5978637","5841364","6144061","5999015"
"270","5991074","5841364","6144061","5998986"
"271","5915608","5841364","6144061","5998678"
"272","6066673","5841364","6144061","5998928"
"273","6025257","5841364","6144061","5999025"
"274","6048892","5841364","6144061","5999207"
"275","5995777","5841364","6144061","5999194"
"276","6022457","5841364","6144061","5999278"
"277","5981450","5841364","6144061","5999214"
"278","6067777","5841364","6144061","5999461"
"279","6022934","5841364","6144061","5999545"
"280","6033954","5841364","6144061","5999668"
"281","6075079","5841364","6144061","5999936"
"282","5944172","5841364","6144061","5999738"
"283","6035285","5841364","6144061","5999864"
"284","5930368","5841364","6144061","5999619"
"285","5993781","5841364","6144061","5999599"
"286","6024710","5841364","6144061","5999687"
"287","6034473","5841364","6144061","5999808"
"288","6012249","5841364","6144061","5999851"
"289","5973857","5841364","6144061","5999761"
"290","6002076","5841364","6144061","5999769"
"291","6006497","5841364","6144061","5999792"
"292","5999658","5841364","6144061","5999792"
"293","6000817","5841364","6144061","5999795"
"294","5948796","5841364","6144061","5999622"
"295","5964658","5841364","6144061","5999503"
"296","6016807","5841364","6144061","5999562"
"297","6047552","5841364","6144061","5999723"
"298","6081376","5841364","6144061","5999997"
"299","6096610","5841364","6144061","6000320"
"300","6062611","5841364","6144061","6000528"
"301","5941352","5841364","6144061","6000331"
"302","5986101","5841364","6144061","6000284"
"303","5993850","5841364","6144061","6000263"
"304","5944523","5841364","6144061","6000080"
"305","6078732","5841364","6144061","6000337"
"306","5963466","5841364","6144061","6000217"
"307","5984009","5841364","6144061","6000164"
"308","6072210","5841364","6144061","6000398"
"309","5983782","5841364","6144061","6000344"
"310","5834219","5834219","6144061","5999808"
"311","5933901","5834219","6144061","5999596"
"312","6012206","5834219","6144061","5999637"
"313","5961053","5834219","6144061","5999514"
