"Iteracja","Best Result","Worst Result","Average Cost","OdchylenieStandardowe"
"1","359114","904884","523888","142758.09511061187"
"2","359087","856559","511447","139109.2319137522"
"3","357114","854645","502985","128268.59634645013"
"4","373218","903544","534185","136934.29214068688"
"5","357521","883111","511822","136057.19135891565"
"6","370678","884573","523460","129591.7516802611"
"7","355998","889919","529136","141059.25086878258"
"8","352221","853380","497198","124891.8850681637"
"9","358612","896598","507784","137951.95788110222"
"10","361069","889974","512815","134685.6092581182"
