"Iteracja","Current","Best","Worst","Average"
"1","54808","54808","54808","54808"
"2","53790","53790","54808","54299"
"3","53889","53790","54808","54162"
"4","53709","53709","54808","54049"
"5","54351","53709","54808","54109"
"6","53681","53681","54808","54038"
"7","54371","53681","54808","54085"
"8","54309","53681","54808","54113"
"9","53945","53681","54808","54094"
"10","53904","53681","54808","54075"
"11","55194","53681","55194","54177"
"12","55301","53681","55301","54271"
"13","53755","53681","55301","54231"
"14","54093","53681","55301","54221"
"15","53591","53591","55301","54179"
"16","53307","53307","55301","54124"
"17","54094","53307","55301","54123"
"18","54144","53307","55301","54124"
"19","54202","53307","55301","54128"
"20","53913","53307","55301","54117"
"21","55066","53307","55301","54162"
"22","53491","53307","55301","54132"
"23","55109","53307","55301","54174"
"24","53046","53046","55301","54127"
"25","53096","53046","55301","54086"
"26","55199","53046","55301","54129"
"27","53838","53046","55301","54118"
"28","55091","53046","55301","54153"
"29","54685","53046","55301","54171"
"30","53306","53046","55301","54142"
"31","52100","52100","55301","54076"
"32","53408","52100","55301","54055"
"33","55392","52100","55392","54096"
"34","51750","51750","55392","54027"
"35","55244","51750","55392","54062"
"36","55245","51750","55392","54094"
"37","53239","51750","55392","54071"
"38","54173","51750","55392","54074"
"39","53166","51750","55392","54051"
"40","53123","51750","55392","54027"
"41","53120","51750","55392","54005"
"42","55413","51750","55413","54039"
"43","54708","51750","55413","54054"
"44","53217","51750","55413","54035"
"45","54489","51750","55413","54045"
"46","54695","51750","55413","54060"
"47","54628","51750","55413","54072"
"48","53913","51750","55413","54068"
"49","53118","51750","55413","54049"
"50","54372","51750","55413","54055"
"51","50765","50765","55413","53991"
"52","52320","50765","55413","53959"
"53","54228","50765","55413","53964"
"54","54223","50765","55413","53969"
"55","54202","50765","55413","53973"
"56","54266","50765","55413","53978"
"57","52948","50765","55413","53960"
"58","54279","50765","55413","53965"
"59","50941","50765","55413","53914"
"60","52925","50765","55413","53898"
"61","54264","50765","55413","53904"
"62","54266","50765","55413","53909"
"63","53211","50765","55413","53898"
"64","51835","50765","55413","53866"
"65","52084","50765","55413","53839"
"66","54376","50765","55413","53847"
"67","51963","50765","55413","53819"
"68","50689","50689","55413","53773"
"69","52157","50689","55413","53749"
"70","51983","50689","55413","53724"
"71","52903","50689","55413","53712"
"72","54231","50689","55413","53720"
"73","54236","50689","55413","53727"
"74","54400","50689","55413","53736"
"75","52921","50689","55413","53725"
"76","52918","50689","55413","53714"
"77","54150","50689","55413","53720"
"78","51605","50689","55413","53693"
"79","54455","50689","55413","53702"
"80","54716","50689","55413","53715"
"81","53819","50689","55413","53716"
"82","52252","50689","55413","53699"
"83","52897","50689","55413","53689"
"84","53045","50689","55413","53681"
"85","52939","50689","55413","53672"
"86","52974","50689","55413","53664"
"87","53448","50689","55413","53662"
"88","53521","50689","55413","53660"
"89","52291","50689","55413","53645"
"90","54426","50689","55413","53654"
"91","53411","50689","55413","53651"
"92","53248","50689","55413","53646"
"93","54496","50689","55413","53656"
"94","53396","50689","55413","53653"
"95","53759","50689","55413","53654"
"96","53340","50689","55413","53651"
"97","53609","50689","55413","53650"
"98","54141","50689","55413","53655"
"99","53966","50689","55413","53658"
"100","53923","50689","55413","53661"
"101","54545","50689","55413","53670"
"102","54045","50689","55413","53673"
"103","52311","50689","55413","53660"
"104","51952","50689","55413","53644"
"105","54232","50689","55413","53649"
"106","52853","50689","55413","53642"
"107","51612","50689","55413","53623"
